status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
14226545351_10157129177780352,We're going Live from Red Bull X-Fighters qualifying in a few hours. Keep an eye out right here on Facebook!,Red Bull X-Fighters 2016 Wildest Moments,video,https://www.facebook.com/redbull/videos/10157129177780352/,2016-06-23 09:21:00,6,3,0,7,0,0,0,0,0
14226545351_10157128751525352,Sounds of Red Bull Flugtag - Celebrating the 150th edition this weekend in Peru!,Red Bull Flugtag 150th Edition,video,https://www.facebook.com/redbull/videos/10157128751525352/,2016-06-23 07:12:00,4532,125,236,4307,77,11,138,0,0
14226545351_10157128280255352,Courage; it's all in the name.,Courage Adams street BMX raw,video,https://www.facebook.com/redbull/videos/10157128280255352/,2016-06-23 04:12:00,8362,177,586,7939,176,240,7,1,0
14226545351_10157126812430352,When a lump of coal is a good thing.,Hard Enduro Freeriding Through the Belchatow Coal Mine,video,https://www.facebook.com/redbull/videos/10157126812430352/,2016-06-22 19:16:05,12596,259,1150,12090,331,158,12,3,2
14226545351_10156981800380352,Getting down and dirty.,Who is JOB - Sewer Surfing,video,https://www.facebook.com/redbull/videos/10156981800380352/,2016-06-22 11:14:00,18592,369,992,17203,106,267,1001,10,5
14226545351_10157121273045352,Things to do next time you are in the middle of the desert...,,video,https://www.facebook.com/redbull/videos/10157121273045352/,2016-06-22 09:22:00,5343,188,656,5071,146,97,27,0,2
14226545351_10157124207520352,How many spins can Viki Gómez do in one minute?,How many spins can @Viki Gomez do in one minute?,video,https://www.facebook.com/redbull/videos/10157124207520352/,2016-06-22 07:37:06,10859,2149,272,8844,899,630,270,81,135
14226545351_10157118778780352,Tasmanian devil waves.,Australian Winter Roar Surf,video,https://www.facebook.com/redbull/videos/10157118778780352/,2016-06-22 07:13:01,11483,184,754,10769,267,438,8,0,1
14226545351_10157118684960352,Amsterdaaaamn.,Wake Up Amsterdam,video,https://www.facebook.com/redbull/videos/10157118684960352/,2016-06-22 07:13:00,55888,3568,5087,53232,1318,1244,86,4,4
14226545351_10157118529390352,Show us the craziest thing you've done with your friends.,Clashem app Friendship Goals,video,https://www.facebook.com/redbull/videos/10157118529390352/,2016-06-22 04:08:00,3921,58,166,3796,57,20,47,1,0
