status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1742886392619171_1756811014560042,Remember This Day? When The Shield Make There Official WWE Debut!,Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1756811014560042/?type=3,2016-06-23 13:19:20,6,1,18,5,1,0,0,0,0
1742886392619171_1756682654572878,"WWE Clash Of Champions, No Mercy And WWE Backlash Returning To WWE! #WWE #PPV
https://www.youtube.com/watch?v=kcHvpCa6gqU","WWE Clash Of Champions, No Mercy And WWE Backlash Returning To WWE! Full Backstage Plans!",video,https://www.youtube.com/watch?v=kcHvpCa6gqU,2016-06-23 07:28:02,2,0,26,2,0,0,0,0,0
1742886392619171_1756609374580206,I Am Suspended From WWE For 30 Days! Are You Happy?,Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1756609374580206/?type=3,2016-06-23 05:22:12,26,20,0,20,1,0,0,5,0
1742886392619171_1756540441253766,Will Roman Reigns Tap Out? Yes Or No?,Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1756540441253766/?type=3,2016-06-23 00:48:29,31,5,25,28,1,1,1,0,0
1742886392619171_1756367677937709,,WWE Heroes - Roman Reigns's cover photo,photo,https://www.facebook.com/RomanReigns/photos/a.1743352635905880.1073741827.1742886392619171/1756367664604377/?type=3,2016-06-22 11:56:09,23,0,1,22,1,0,0,0,0
1742886392619171_1756258264615317,"WWE Roman Reigns Suspended By WWE! #WWE #RomanReigns
https://www.youtube.com/watch?v=MO0KDaSSHgA",WWE Roman Reigns Suspended By WWE! Full Backstage Details!,video,https://www.youtube.com/watch?v=MO0KDaSSHgA,2016-06-22 07:29:26,2,0,31,2,0,0,0,0,0
1742886392619171_1756224374618706,Brotherhood Finished!!,Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1756224374618706/?type=3,2016-06-22 04:57:53,36,0,0,32,1,2,0,1,0
1742886392619171_1755869104654233,"Update On Kurt Angle Return 2016! #KurtAngle #WWE
https://www.youtube.com/watch?v=ac1iqulmLKs",WWE Breaking News: Update On Kurt Angle Return 2016!,video,https://www.youtube.com/watch?v=ac1iqulmLKs,2016-06-21 07:35:32,2,0,28,2,0,0,0,0,0
1742886392619171_1755750661332744,"Like Dean Ambrose Official Page. Like This Page For Dean Ambrose.
https://www.facebook.com/Dean-Ambrose-WWE-Official-712350388904715/",Dean Ambrose - WWE Official,link,https://www.facebook.com/DeanAmbroseWWEFanpage/,2016-06-20 21:35:30,3,0,0,3,0,0,0,0,0
1742886392619171_1755510568023420,"WWE Money In The Bank 2016 Full Results! #WWE #MITB
https://www.youtube.com/watch?v=I2SzgxlGrC4",WWE Money In The Bank 2016 Full Results!,video,https://www.youtube.com/watch?v=I2SzgxlGrC4,2016-06-20 07:35:39,2,0,28,2,0,0,0,0,0
1742886392619171_1755489411358869,I Lost My Title! Are You Happy?,Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1755489411358869/?type=3,2016-06-20 06:17:17,110,47,1,93,2,1,1,12,1
1742886392619171_1755438704697273,Dean Ambrose Wins And Roman Reigns Lost His Title! Are You Happy?,Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1755438704697273/?type=3,2016-06-20 04:04:22,24,3,1,23,0,0,0,0,1
1742886392619171_1755231334718010,Do You Want To See The Undertaker Back? #TheUndertaker,Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1755231334718010/?type=3,2016-06-19 13:58:13,7,0,0,7,0,0,0,0,0
1742886392619171_1755091238065353,"WWE Is Bringing Goldberg, Rey Mysterio, Kurt Angle, Jeff Hardy And Others For Return! #WWE
https://www.youtube.com/watch?v=3x9BtULzB3E","WWE Is Bringing Goldberg, Rey Mysterio, Kurt Angle, Jeff Hardy And Others For Return!",video,https://www.youtube.com/watch?v=3x9BtULzB3E,2016-06-19 07:38:21,3,0,30,3,0,0,0,0,0
1742886392619171_1754701071437703,"Jerry Lawler Suspended By WWE After Arrest! #JerryLawler #WWE
https://www.youtube.com/watch?v=Gp3l2tdBTAM",WWE Breaking News: Jerry Lawler Suspended By WWE After Arrest!,video,https://www.youtube.com/watch?v=Gp3l2tdBTAM,2016-06-18 07:54:43,3,1,29,3,0,0,0,0,0
1742886392619171_1754334504807693,"Update On Randy Orton Return! See When He Will Return! #RandyOrton #WWE
https://www.youtube.com/watch?v=8ze8zZHjjRI",WWE Backstage News: Update On Randy Orton Return!,video,https://www.youtube.com/watch?v=8ze8zZHjjRI,2016-06-17 08:59:56,3,0,27,3,0,0,0,0,0
1742886392619171_1753916421516168,"WWE Bringing Back WCW Clash Of The Champions! #WCW #ClashOfTheChampions
https://www.youtube.com/watch?v=Iq_MK6tvjUY",WWE Bringing Back WCW Clash Of The Champions! Full Backstage Details!,video,https://www.youtube.com/watch?v=Iq_MK6tvjUY,2016-06-16 07:27:19,4,2,28,4,0,0,0,0,0
1742886392619171_1753570771550733,"Update On Neville Return! See When He Will Return! #Neville #WWE
https://www.youtube.com/watch?v=IuWv_r7FYX4",WWE Backstage News: Update On Neville Return!,video,https://www.youtube.com/watch?v=IuWv_r7FYX4,2016-06-15 07:26:44,3,0,13,3,0,0,0,0,0
1742886392619171_1753226654918478,"WWE Monday Night Raw Results (6/13/16) #Raw #WWE 
https://www.youtube.com/watch?v=TxLVrJfcpw4",WWE Monday Night Raw Results (6/13/16),video,https://www.youtube.com/watch?v=TxLVrJfcpw4,2016-06-14 07:16:53,4,0,9,4,0,0,0,0,0
1742886392619171_1752927124948431,"Seth Rollins Use Formerly Banned Move at WWE Live Event! #SethRollins #WWE
https://www.youtube.com/watch?v=B8hXdiZMnyo",WWE Breaking News: Seth Rollins Use Formerly Banned Move at WWE Live Event!,video,https://www.youtube.com/watch?v=B8hXdiZMnyo,2016-06-13 07:32:16,3,0,8,3,0,0,0,0,0
1742886392619171_1752559401651870,"Bobby Roode Debuts at WWE NXT Live Event! #BobbyRoode #NXT
https://www.youtube.com/watch?v=MWm2vniqvIU",WWE Breaking News: Bobby Roode Debuts at WWE NXT Live Event!,video,https://www.youtube.com/watch?v=MWm2vniqvIU,2016-06-12 07:22:27,3,0,2,3,0,0,0,0,0
1742886392619171_1752195665021577,"WWE SmackDown 6/9/2016 Viewership And Ratings! #WWE #SmackDown
https://www.youtube.com/watch?v=JTshljwhx1Q",WWE SmackDown 6/9/2016 Viewership And Ratings!,video,https://www.youtube.com/watch?v=JTshljwhx1Q,2016-06-11 07:15:27,4,0,29,4,0,0,0,0,0
1742886392619171_1751964265044717,We Are Now At 1000 Likes. Are You Happy? Thanks For 1000 Likes. #RomanReigns,Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1751964265044717/?type=3,2016-06-10 13:23:56,22,0,12,22,0,0,0,0,0
1742886392619171_1751850201722790,"Big Update On Bray Wyatt Return! Watch To Know When He Will Return! #BrayWyatt #FaceTheFear
https://www.youtube.com/watch?v=hJRjE5U3QIg",WWE Backstage News: Big Update On Bray Wyatt Return!,video,https://www.youtube.com/watch?v=hJRjE5U3QIg,2016-06-10 07:21:09,5,0,43,5,0,0,0,0,0
1742886392619171_1751548541752956,Who Will Win? #Undertaker Or #Sting,Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1751548541752956/?type=3,2016-06-09 13:37:48,19,5,10,19,0,0,0,0,0
1742886392619171_1751411898433287,"NXT TakeOver: The End Results! Watch This To See What Happened! #NXT #NXTTakeOver #NXTTakeOverTheEnd
https://www.youtube.com/watch?v=E4d5oK2P7_E",NXT TakeOver: The End Results!,video,https://www.youtube.com/watch?v=E4d5oK2P7_E,2016-06-09 07:08:32,4,0,27,4,0,0,0,0,0
1742886392619171_1751183655122778,"Best In The World #CMPunk
Are You Missing Him?",Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1751183655122778/?type=3,2016-06-08 13:08:26,26,2,12,26,0,0,0,0,0
1742886392619171_1751090868465390,"Brock Lesnar Vs Mark Hunt At UFC 200! Yes, Brock Is Back! #BrockLesnar #UFC200 #Beast
https://www.youtube.com/watch?v=Zm40chRRgn8",Brock Lesnar Vs Mark Hunt At UFC 200 Confirmed!,video,https://www.youtube.com/watch?v=Zm40chRRgn8,2016-06-08 07:27:48,7,0,30,7,0,0,0,0,0
1742886392619171_1750870101820800,Who Will Win At WWE Money In The Bank 2016. #JohnCena Or #AJStyles,Timeline Photos,photo,https://www.facebook.com/RomanReigns/photos/a.1748863755354768.1073741828.1742886392619171/1750870101820800/?type=3,2016-06-07 13:49:18,19,9,10,19,0,0,0,0,0
