status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
344128252278047_1210858402271690,"Are you ready to challenge yourself to take you past that finish line? Participate in the IDBI Federal Life Insurance Mumbai Half Marathon? Are you ready to #MoveMumbai?
Register for the Marathon here: http://bit.ly/MumbaiHM2016!",,video,https://www.facebook.com/SachinTendulkar/videos/1210858402271690/,2016-06-23 07:13:38,3015,56,79,2936,64,15,0,0,0
344128252278047_1209994385691425,"""It is the biggest experience ever for any athlete to represent their nation at Olympics"". 
A huge shout out to Shiva Thapa on his #RoadtoRio.  Jee jaan laga dena! #AgainstAllOdds Indian Olympic Association",Shiva Thapa - #AgainstAllOdds,video,https://www.facebook.com/SachinTendulkar/videos/1209994385691425/,2016-06-23 00:30:00,18676,98,472,18361,258,52,2,0,3
344128252278047_1209968749027322,Huge portion of delicious fish n chips! Anyone wanna share with me?? 😋,Timeline Photos,photo,https://www.facebook.com/SachinTendulkar/photos/a.402901949734010.98326.344128252278047/1209968749027322/?type=3,2016-06-22 10:30:01,311128,3992,2370,305868,2835,1840,387,74,124
344128252278047_1210003469023850,"It was fun filming these videos for Digibank by DBS - Go mobile–only and avoid branch visits or paperwork. Earn 7% interest while you relax at home. 
Check it out bit.ly/28JWL8i",,video,https://www.facebook.com/SachinTendulkar/videos/1210003469023850/,2016-06-22 08:55:49,2608,54,45,2530,68,7,2,0,1
344128252278047_1209265049097692,"""Papa ne sapna dekha tha ki meri betiyon ko wrestler banaunga …. humne  papa ka sapna sach kar dikhaya  hai"". 
A huge shout out to Babita Phogat on her #RoadtoRio.  Jee jaan laga dena! #AgainstAllOdds Indian Olympic Association",Babita Phogat- #AgainstAllOdds,video,https://www.facebook.com/SachinTendulkar/videos/1209265049097692/,2016-06-22 01:05:59,24218,170,636,23743,389,74,7,2,3
344128252278047_1209126455778218,"For all those who didn't manage to guess, the clue is in this photograph! :)",Timeline Photos,photo,https://www.facebook.com/SachinTendulkar/photos/a.402901949734010.98326.344128252278047/1209126455778218/?type=3,2016-06-21 02:37:10,127341,859,538,125920,881,127,406,2,5
344128252278047_1208595812497949,Guess where I am???? :),Timeline Photos,photo,https://www.facebook.com/SachinTendulkar/photos/a.402901949734010.98326.344128252278047/1208595812497949/?type=3,2016-06-20 07:56:39,384403,3550,2337,379031,2777,388,2174,11,22
344128252278047_1208167115874152,These are the moments which make it all worthwhile .... Unexpected loving gift from the greatest gifts of my life .... Left me speechless on #FathersDay #ProudFather,Timeline Photos,photo,https://www.facebook.com/SachinTendulkar/photos/a.402901949734010.98326.344128252278047/1208167115874152/?type=3,2016-06-19 12:49:41,316781,742,2401,312148,3823,710,89,7,4
344128252278047_1207861285904735,The person I always looked upto and wanted to be like. #HappyFathersDay,Timeline Photos,photo,https://www.facebook.com/SachinTendulkar/photos/a.402901949734010.98326.344128252278047/1207861285904735/?type=3,2016-06-19 03:32:03,418680,1142,5237,412860,4663,1016,111,26,4
344128252278047_1207543042603226,"""Bahot Khushi hoti hai ke kisi pehli Indian women ne gymnast mein qualify kiya"".
 Bharat ki shaan hai ye, lets all support #DipaKarmakar on her #RoadtoRio  #AgainstAllOdds  Indian Olympic Association",Dipa Karmakar - #AgainstAllOdds,video,https://www.facebook.com/SachinTendulkar/videos/1207543042603226/,2016-06-19 00:30:00,53277,374,2282,52246,764,252,12,1,2
344128252278047_1207448075946056,Who says sky is the limit.... That's where the journey begins! Congratulations #AvaniChaturvedi #MohanaSingh #BhawanaKanth on being the first women fighters in #IndianAirForce.,Timeline Photos,photo,https://www.facebook.com/SachinTendulkar/photos/a.402901949734010.98326.344128252278047/1207448075946056/?type=3,2016-06-18 11:48:34,238163,1932,8992,235157,1863,1103,32,6,3
344128252278047_1206359602721570,"""Sister ko dekhkar hi mein TT mein aayi. Mein chahti hu ki log mujhe pehchane, I want to be a legend."" 
A huge shout out to #ManikaBatra on her #RoadtoRio. Jee jaan laga dena! #AgainstAllOdds  Indian Olympic Association",Manika Batra - #AgainstAllOdds,video,https://www.facebook.com/SachinTendulkar/videos/1206359602721570/,2016-06-17 00:30:00,31988,333,1334,31204,643,126,12,2,1
344128252278047_1205838092773721,"""Wrestling ek power ka game hai, aur sirf ladkon mein power hoti hai aisa nahi hai. Ladkiyon mein bhi bahut zyada power hoti hai."" 
Bharat ki shaan hai ye, lets all support Vinesh Phogat on her #RoadtoRio  #AgainstAllOdds Indian Olympic Association",Vinesh Phogat - #AgainstAllOdds,video,https://www.facebook.com/SachinTendulkar/videos/1205838092773721/,2016-06-16 04:50:40,49368,392,2266,48137,1006,198,23,1,3
344128252278047_1205133226177541,"""A day without laughter is a day wasted"".  A person who has never failed to tickle our funny bones. An actor, comedian and director par excellence!! #CharlieChaplin",Timeline Photos,photo,https://www.facebook.com/SachinTendulkar/photos/a.402901949734010.98326.344128252278047/1205133226177541/?type=3,2016-06-15 00:31:54,485080,1371,4912,480410,3252,1103,286,10,19
344128252278047_1202681316422732,A walk in the Park!!,Timeline Photos,photo,https://www.facebook.com/SachinTendulkar/photos/a.402901949734010.98326.344128252278047/1202681316422732/?type=3,2016-06-11 03:58:30,933815,5687,6326,926168,5161,2069,331,29,57
344128252278047_1202091176481746,Back of the Head Fan moment!!,Timeline Photos,photo,https://www.facebook.com/SachinTendulkar/photos/a.402901949734010.98326.344128252278047/1202091176481746/?type=3,2016-06-10 07:17:40,301385,1170,2104,298144,1782,471,963,10,15
