status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5128508749_10154341453508750,,Timeline Photos,photo,https://www.facebook.com/seankingston/photos/a.118322998749.99545.5128508749/10154341453508750/?type=3,2016-06-23 23:23:00,299,5,30,268,4,0,27,0,0
5128508749_10154340447868750,Amazing story,"After Being Burned by Bullies, She Tattooed Her Face, and the Results Changed Her Life!",link,http://twentytwowords.com/after-being-burned-by-bullies-she-tattooed-her-face-and-the-results-changed-her-life/?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook,2016-06-23 21:00:01,92,0,3,88,2,2,0,0,0
5128508749_10154340442933750,LOLOL no one gonna mess with Beyonce,This Man Made Eye Contact With Beyoncé And What Happened Next Was Brilliant,link,http://www.viralthread.com/this-man-made-eye-contact-with-beyonce-and-what-happened-next-was-brilliant/?utm_source=CMfacebook&utm_medium=affiliate&utm_campaign=rubyred,2016-06-23 19:45:00,575,17,22,547,9,2,17,0,0
5128508749_10154340436358750,Still smokin',The Hottest Famous Adult Movie Stars - Then and Now,link,http://www.lifedaily.com/the-hottest-famous-adult-movie-stars-then-and-now/?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook&utm_content=Gallery,2016-06-23 18:45:00,73,4,4,73,0,0,0,0,0
5128508749_10154340432963750,Next level right here 😂,Apple Just Accidentally Revolutionized The Sexting Game,link,http://distractify.com/geek/2016/06/14/invisible-ink-nudes?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook,2016-06-23 17:40:00,109,11,12,101,2,0,6,0,0
5128508749_10154340833468750,https://soundcloud.com/djtwinchi/dj-twin-rubba-band-ft-yo-gotti-x-sean-kingston/s-p9QYh,"DJ Twin ""Rubba Band"" (Feat. Yo Gotti x Sean Kingston)(Prod. Metro Boomin x Southside)",link,https://soundcloud.com/djtwinchi/dj-twin-rubba-band-ft-yo-gotti-x-sean-kingston/s-p9QYh,2016-06-23 17:03:00,7,0,0,6,1,0,0,0,0
5128508749_10154340425728750,This is one CREEPY ASS story,"I Inherited My Brother's Laptop After His Suicide, What I Found On It Made Me Glad He Did It",link,http://thoughtcatalog.com/maggie-meyers/2014/07/in-inherited-my-brothers-laptop-after-his-suicide-what-i-found-on-it-made-me-glad-he-did-it/?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook,2016-06-23 16:40:00,101,13,14,96,1,4,0,0,0
5128508749_10154340417478750,What you think?,Why You Might Want to Wait to Wash Your Jeans,link,http://www.mentalfloss.com/article/81939/why-you-might-want-wait-wash-your-jeans?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook,2016-06-23 15:25:00,67,7,2,66,1,0,0,0,0
5128508749_10154340413473750,You know at least one of these got you,32 People Who Will Probably Make You Feel Smart,link,http://twentytwowords.com/the-simplest-thing-people-have-had-to-explain-to-competent-adults/?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook,2016-06-23 14:20:01,292,4,42,280,4,5,2,0,1
5128508749_10154340355913750,New Music fans!!!,,video,https://www.facebook.com/seankingston/videos/10154340355913750/,2016-06-23 13:25:43,83,5,4,79,3,0,1,0,0
5128508749_10154340345548750,Just cause you a vegan don't mean your dog is,Vegan Gets Absolutely Destroyed On Tumblr After Giving Their Dog A Meatless Diet,link,http://distractify.com/animals/2016/06/23/vegan-dog-owner-gets-owned?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook,2016-06-23 13:19:16,430,18,248,335,5,4,9,25,52
5128508749_10154340319328750,http://www.hotnewhiphop.com/dj-twin-rubba-bands-feat-sean-kingston-and-yo-gotti-prod-by-metro-boomin-and-southside-new-song.1970321.html,DJ Twin - Rubba Bands Feat. Sean Kingston & Yo Gotti (Prod. By Metro Boomin & Southside) |...,link,http://www.hotnewhiphop.com/dj-twin-rubba-bands-feat-sean-kingston-and-yo-gotti-prod-by-metro-boomin-and-southside-new-song.1970321.html,2016-06-23 13:05:02,3,0,0,3,0,0,0,0,0
5128508749_10154338709178750,Thankful for life!.. Remember it's short live every second of it with no regrets❗️,Timeline Photos,photo,https://www.facebook.com/seankingston/photos/a.118322998749.99545.5128508749/10154338709178750/?type=3,2016-06-23 05:29:01,445,22,6,428,15,0,0,2,0
5128508749_10154338708353750,Some people come in your life for a reason.. Some come for a season.. Just know @djtwinchi u aint never gonna stress for nothing!.. 🙏🏽🙏🏽. #blessed #Positiveenergy,Timeline Photos,photo,https://www.facebook.com/seankingston/photos/a.118322998749.99545.5128508749/10154338708353750/?type=3,2016-06-23 03:28:00,491,10,11,477,13,0,0,1,0
5128508749_10154338706353750,Moms always said with hard work... Patience.... And dedication everything will fall in the right place in a matter of time... #Blessed #GODISGREAT,Timeline Photos,photo,https://www.facebook.com/seankingston/photos/a.118322998749.99545.5128508749/10154338706353750/?type=3,2016-06-23 01:27:01,474,17,14,460,9,2,3,0,0
5128508749_10154338704393750,seankingstonNever hated on the next man cause I've always worked hard and had my OWN!.. #newbeginnings #newchainalert GOD Got me smiling everyday... And trust me I'm very thankful 🙏🏽✈️💪🏾 love to my fans -Sk #Newmusiccomingsoon,Timeline Photos,photo,https://www.facebook.com/seankingston/photos/a.118322998749.99545.5128508749/10154338704393750/?type=3,2016-06-22 23:26:01,270,8,3,263,7,0,0,0,0
5128508749_10154337747773750,WARNING: These might piss you off....,46 Times Rich Kids on Snap Chat Were The Worst,link,http://www.lifedaily.com/46-times-rich-kids-on-snap-chat-were-the-worst/?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook&utm_content=Gallery,2016-06-22 21:55:00,1071,91,112,977,8,6,24,6,50
5128508749_10154336565268750,"BeatBoxing BOOM, fresh to see support for new young talent",Ui CULTURE,video,https://www.facebook.com/uiculture/videos/1688025608113411/,2016-06-22 19:29:00,37,1,0,36,1,0,0,0,0
5128508749_10154337727563750,CREEPY 😳,I Found An iPhone On The Ground And What I Found In Its Photo Gallery Terrified Me,link,http://thoughtcatalog.com/rona-vaselaar/2015/04/i-found-an-iphone-on-the-ground-and-what-i-found-in-its-photo-gallery-terrified-me/?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook,2016-06-22 18:40:00,552,64,132,506,9,34,1,1,1
5128508749_10154335720898750,True?,Only Husbands Would Say These Hilarious Things,link,http://twentytwowords.com/hilarious-tweets-from-husbands-who-are-clearly-winning-at-marriage/?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook,2016-06-22 17:35:00,1487,31,159,1247,13,2,225,0,0
5128508749_10154335722508750,Good work homie,RICK Ross Just Lost An INSANE AMOUNT Of WEIGHT…Wait Until You See Him,link,http://allnight.com/post/8998-rick-ross-just-lost-an-insane-amount-of-weightwait-until-you-see-him/?exp=1&utm_source=CMfacebook&utm_medium=FB&utm_campaign=rubyred,2016-06-22 16:35:00,960,46,68,927,7,22,4,0,0
5128508749_10154337736538750,WOW...never get up. Never!,"She Weighed 44 Pounds And Was On Her Deathbed, But Wait Until You See Her SHOCKING Transformation...",link,http://quirlycues.com/she-weighed-44-pounds-and-was-on-her-deathbed-but-wait-until-you-see-her-shocking-transformation/?utm_source=EXAMPLE&utm_medium=Social&utm_campaign=CMfacebook,2016-06-22 15:15:00,942,72,91,861,8,33,2,38,0
5128508749_10154337709443750,This dude's crazy LOLOL,"Guy Snorts and Vapes the Hottest Pepper In the World, Regrets It Almost Immediately",link,http://www.viralthread.com/guy-vapes-snorts-carolina-reaper-regrets-almost-immediately/?utm_source=CMfacebook&utm_medium=affiliate&utm_campaign=rubyred,2016-06-22 13:56:32,92,16,7,85,2,3,1,0,1
5128508749_10154335712283750,Snapchat be creating monsters,The Most Bizarre Face Swaps From Snapchat. WTF,link,http://allnight.com/post/7626-15-of-the-most-f-ed-up-face-swaps-on-snapchat/?exp=1&utm_source=CMfacebook&utm_medium=FB&utm_campaign=rubyred,2016-06-22 12:55:01,1184,22,50,1080,3,9,92,0,0
5128508749_10154335709478750,Speechless,Report Details The Gruesome Images Police Found In A Raid Of Michael Jackson's Ranch,link,http://distractify.com/entertainment/2016/06/21/michael-jackson-raid-details?utm_source=FBTraffic&utm_medium=rubyred&utm_campaign=CMfacebook,2016-06-22 10:55:00,650,97,245,558,2,33,2,8,47
5128508749_10154336162598750,"Finally!! What the people needed straight fiyah!! @djtwinchi feat ME @lilbibby_ and @nolimitherbo ""They Know us"" out everywhere now !!",Timeline Photos,photo,https://www.facebook.com/seankingston/photos/a.118322998749.99545.5128508749/10154336162598750/?type=3,2016-06-22 09:29:01,81,4,2,79,2,0,0,0,0
5128508749_10154336161958750,Keep your circle small.. And ya 👀 open at all times.. Presidential flexx 💯❗️📸by @billionairevisions,Timeline Photos,photo,https://www.facebook.com/seankingston/photos/a.118322998749.99545.5128508749/10154336161958750/?type=3,2016-06-22 07:29:00,560,11,8,555,3,2,0,0,0
5128508749_10154336153503750,,Timeline Photos,photo,https://www.facebook.com/seankingston/photos/a.118322998749.99545.5128508749/10154336153503750/?type=3,2016-06-22 04:21:00,15818,19957,6706,14848,590,59,296,19,6
5128508749_10154336153338750,,Timeline Photos,photo,https://www.facebook.com/seankingston/photos/a.118322998749.99545.5128508749/10154336153338750/?type=3,2016-06-22 02:21:00,10506,549,1527,9972,47,2,476,1,8
5128508749_10154336153183750,,Timeline Photos,photo,https://www.facebook.com/seankingston/photos/a.118322998749.99545.5128508749/10154336153183750/?type=3,2016-06-22 00:10:10,14467,239,3235,13965,395,3,98,3,3
