status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7961985974_10153750989685975,"When women support each other, we accomplish amazing things. Celebrate the women who #LeanInTogether with you and visit makers.com/leanin for everyday tips for lifting each other up.",,video,https://www.facebook.com/Selena/videos/10153750989685975/,2016-06-23 11:25:48,53584,362,2264,48506,4926,134,14,3,1
7961985974_10153748765065975,"Thank you for an incredible show, Nashville! #RevivalTour",Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10153748764265975/?type=3,2016-06-22 11:56:27,159779,735,820,147824,11469,388,68,20,10
7961985974_10153741512275975,Sold out show in Selena's hometown. #RevivalTour,Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10153741512145975/?type=3,2016-06-19 00:49:39,323447,1350,1957,301362,20811,945,257,39,33
7961985974_10153735190785975,"Thank you for your energy, Houston. 💜 #RevivalTour",Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10153735190460975/?type=3,2016-06-16 08:36:59,213253,1430,1394,198088,14475,531,106,33,20
7961985974_10153732531320975,Selena with some of her team. #CrewLove 💜,Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10153732531085975/?type=3,2016-06-14 23:25:34,157673,907,745,146192,11114,284,57,13,13
7961985974_10153722862345975,"New Orleans, we're headed to you soon! Do you have your tickets yet?! selenagomez.com/revivaltour #RevivalTourNewOrleans",Upcoming Dates,link,http://selenagomez.com/revivaltour,2016-06-10 12:31:13,20183,854,210,17750,2293,100,15,22,3
7961985974_10153722319720975,New for Act 5. Head to Vogue.com to hear more about the making of the #RevivalTour wardrobe.,Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10153722318940975/?type=3,2016-06-10 07:10:10,133629,870,841,123238,9809,495,60,13,14
7961985974_10153718185610975,Empty arena before everyone arrives. #RevivalTour,Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10153718184950975/?type=3,2016-06-08 09:15:49,234724,1754,1383,218778,15066,675,148,33,24
7961985974_10153714332715975,It's here! Watch the video for #KillEmWithKindness now!!💋 youtu.be/HHP5MKgK0o8,,video,https://www.facebook.com/Selena/videos/10153714332715975/,2016-06-06 11:14:34,117975,2556,6848,100249,16906,737,55,8,20
7961985974_10153713390520975,"Thank you, Ohio! #RevivalTour",Photos from Selena Gomez's post,photo,https://www.facebook.com/Selena/photos/a.270081260974.141641.7961985974/10153713390125975/?type=3,2016-06-05 22:53:05,200241,1006,1123,187107,12281,689,111,32,21
