status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5027904559_10154442683384560,"~ Another 4,000+ people in Argentina doing the Zumba Fitness choreography to #LaBicicleta! 
~ Más de 4,000 personas en Argentina bailando la coreografía de #Zumba de La Bicicleta con Beto Perez!
ShakHQ",Zumba: #La Bicicleta,video,https://www.facebook.com/shakira/videos/10154442683384560/,2016-06-22 11:43:10,94584,1621,8563,88147,5001,1228,178,11,19
5027904559_10154435685424560,"En ""la Bicicleta"" por un rincón de Francia! On my ""Bicicleta"" in the French countryside! Shak",Timeline Photos,photo,https://www.facebook.com/shakira/photos/a.142708799559.109364.5027904559/10154435685424560/?type=3,2016-06-19 15:35:45,691587,8312,5788,661266,27056,2349,807,43,66
5027904559_10154423961229560,Los colores del verano / Summer colors. Shak,Timeline Photos,photo,https://www.facebook.com/shakira/photos/a.142708799559.109364.5027904559/10154423961229560/?type=3,2016-06-15 07:05:07,344898,4017,2099,330599,12313,1133,766,37,50
5027904559_10154419231719560,Celebrando el gol de papa con La Roja!!,Timeline Photos,photo,https://www.facebook.com/shakira/photos/a.142708799559.109364.5027904559/10154419231719560/?type=3,2016-06-13 10:18:36,499609,2938,2545,472310,23226,401,3582,30,60
5027904559_10154411228379560,"~ NEW VIDEO! Sing along to the official lyric video for #LaBicicleta by Carlos Vives and Shak! 
~ NUEVO VIDEO! Ya pueden cantar utilizando el nuevo video con la letra de la canción de Carlos Vives y Shak #LaBicicleta!
ShakHQ 🚲🎤","Carlos Vives, Shakira - La Bicicleta (Official Lyric Video)",video,https://youtu.be/pD4H6ecTiG0,2016-06-10 10:33:02,41882,884,3046,38856,2831,119,56,6,14
5027904559_10154406255109560,"~ 4,000 people doing the official Zumba Fitness choreography to #LaBicicleta!
~ Wow! 4,000 personas bailando la coreografía oficial de Zumba de La Bicicleta con Beto Perez! 
ShakHQ",Zumba: La Bicicleta,video,https://www.facebook.com/shakira/videos/10154406255109560/,2016-06-08 14:41:21,308671,8154,65705,286427,16903,4546,721,30,44
5027904559_10154402920969560,#LaBicicleta Número uno! ShakHQ 🚲,Timeline Photos,photo,https://www.facebook.com/shakira/photos/a.142708799559.109364.5027904559/10154402920969560/?type=3,2016-06-07 10:09:06,42286,669,809,39518,2536,177,47,6,2
5027904559_10154390476324560,"Gracias a todos por hacer La Bicicleta un hit viral, esto va ""sobre ruedas"" Spotify / Thanks everyone for making La Bicicleta a viral hit, things are really rolling now! Shak",Timeline Photos,photo,https://www.facebook.com/shakira/photos/a.142708799559.109364.5027904559/10154390476324560/?type=3,2016-06-02 06:35:04,25066,656,359,23679,1264,90,26,3,4
5027904559_10154389174234560,Listen to #LaBicicleta / Ya pueden escuchar #LaBicicleta en Spotify http://spoti.fi/1ZdXF1v ShakHQ🚲,,status,,2016-06-01 15:50:14,16818,379,0,15305,1433,24,49,2,5
5027904559_10154386565359560,"~ Check out #LaBicicleta - the new single from Carlos Vives and Shakira - available to download & stream now! 
~ No se pierdan La Bicicleta - el nuevo sencillo de Carlos Vives y Shakira - ya disponible en descarga y stream! 
ShakHQ",La Bicicleta,video,https://www.facebook.com/shakira/videos/10154386565359560/,2016-05-31 13:32:40,40059,771,1443,37352,2492,149,53,5,8
