status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
161564697227628_1250794044971349,Side effects of happiness.,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1250794044971349/?type=3,2016-06-22 08:29:00,74028,694,29750,62680,3593,114,7531,109,1
161564697227628_1248700175180736,Say cheese! 📷,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1248700175180736/?type=3,2016-06-21 15:44:00,127152,956,31536,116096,7422,53,3579,1,1
161564697227628_1248699721847448,Mornings are hard...,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1248699721847448/?type=3,2016-06-21 08:34:19,110688,1122,30633,102826,5341,97,2303,103,18
161564697227628_1248698625180891,#summer,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1248698625180891/?type=3,2016-06-20 15:41:00,96809,969,35575,88836,6501,109,1255,50,58
161564697227628_1248699468514140,First day of summer!!!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1248699468514140/?type=3,2016-06-20 08:12:00,95157,1026,67410,87326,5468,242,1965,105,51
161564697227628_1248585011858919,"Thank you, Dad!",Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1248585011858919/?type=3,2016-06-19 14:51:00,141987,664,47601,131163,10100,55,540,125,4
161564697227628_1248584755192278,Happy Father's Day!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1248584755192278/?type=3,2016-06-19 08:11:00,140956,975,112130,132276,7962,66,615,28,9
161564697227628_1248584555192298,Music makes me happy!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1248584555192298/?type=3,2016-06-18 15:50:00,188788,1570,70402,171864,15326,93,1489,10,6
161564697227628_1248581508525936,Sharing is caring!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1248581508525936/?type=3,2016-06-18 08:49:00,45655,450,15396,37985,1923,23,5720,2,2
161564697227628_1248580868526000,I give up on today.,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1248580868526000/?type=3,2016-06-17 15:45:00,58204,528,13702,54244,1754,84,2042,71,9
161564697227628_1248391558544931,Friday = favorite day!!!!!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1248391558544931/?type=3,2016-06-17 08:25:08,58921,482,25232,54400,3696,34,781,7,3
161564697227628_1247923895258364,Careful when cloud watching! ☁️,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1247923895258364/?type=3,2016-06-16 16:30:50,92715,955,27201,77427,4347,136,10755,46,4
161564697227628_1247589781958442,I love my dog 🐶,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1247589781958442/?type=3,2016-06-16 08:05:14,189722,2253,76008,168069,18044,95,3438,65,11
161564697227628_1247045902012830,Woodstock's big appetite.,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1247045902012830/?type=3,2016-06-15 15:52:50,81335,1180,20347,72418,3863,184,4855,14,1
161564697227628_1246752435375510,Thank you for being a friend.,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1246752435375510/?type=3,2016-06-15 08:10:04,115980,1793,36919,107813,7608,56,471,28,4
161564697227628_1246218485428905,One of those days...,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1246218485428905/?type=3,2016-06-14 15:23:30,70235,577,19294,64133,2298,156,3598,43,7
161564697227628_1245938785456875,It's Flag Day!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1245938785456875/?type=3,2016-06-14 08:18:15,146922,1001,93606,138596,7379,153,764,12,18
161564697227628_1245460518838035,Eat more vegetables 🍰,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1245460518838035/?type=3,2016-06-13 16:29:54,147211,4587,92503,120731,5478,219,20702,74,7
161564697227628_1245166282200792,Monday morning face.,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1245166282200792/?type=3,2016-06-13 09:06:22,160898,1521,63617,143633,6905,213,10084,49,14
161564697227628_1242891089094978,💤💤💤,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1242891089094978/?type=3,2016-06-11 16:17:00,170211,1228,44662,158401,9898,90,1782,35,5
161564697227628_1242866899097397,Talents.,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1242866899097397/?type=3,2016-06-11 08:16:00,74798,464,15255,64569,2909,66,7247,4,3
161564697227628_1242866022430818,The best kind of triathlon 🍩🍕🍨,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1242866022430818/?type=3,2016-06-10 15:36:00,98149,1915,41148,83022,4439,101,10578,6,3
161564697227628_1242713875779366,Hooray for Friday!!!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1242713875779366/?type=3,2016-06-10 08:10:50,110572,610,55617,102732,5373,101,2354,10,2
161564697227628_1242160382501382,It's almost summer vacation!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1242160382501382/?type=3,2016-06-09 16:12:08,54684,424,13158,51089,2160,79,1315,36,5
161564697227628_1241874052530015,In here somewhere...,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1241874052530015/?type=3,2016-06-09 08:17:59,78225,439,22896,71254,3923,40,2989,18,1
161564697227628_1241350942582326,Only two more days to go!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1241350942582326/?type=3,2016-06-08 15:09:11,66866,484,27133,62582,3203,61,1009,9,2
161564697227628_1241068745943879,Thank you for being a friend! 👬👭👫 #NationalBestFriendsDay,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1241068745943879/?type=3,2016-06-08 08:21:41,120322,3259,63029,111828,7897,89,474,24,10
161564697227628_1240558882661532,Summer diet 🍦,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1240558882661532/?type=3,2016-06-07 16:17:34,142985,2042,59125,130768,7433,119,4638,24,3
161564697227628_1240261832691237,True love <3,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1240261832691237/?type=3,2016-06-07 09:01:45,97476,964,20887,87788,8256,54,1363,11,4
161564697227628_1237253152992105,Use your imagination!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1237253152992105/?type=3,2016-06-06 15:51:00,115406,721,32994,105602,7764,126,1905,6,3
161564697227628_1237252322992188,Monday mornings...,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1237252322992188/?type=3,2016-06-06 08:32:00,93631,632,28805,87354,4058,69,2099,40,11
161564697227628_1237250846325669,Sunday night dinner!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1237250846325669/?type=3,2016-06-05 15:36:08,73900,560,16732,68793,3171,90,1825,18,3
161564697227628_1237250386325715,Lucy and Linus at the beach.,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1237250386325715/?type=3,2016-06-05 08:47:00,87450,1147,24288,73724,2645,119,10936,13,13
161564697227628_1237249942992426,🍕🍕🍕🍕🍕,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1237249942992426/?type=3,2016-06-04 15:46:00,101035,1169,21364,92712,6074,98,2144,6,1
161564697227628_1237249592992461,Lazy Saturday morning,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1237249592992461/?type=3,2016-06-04 08:04:03,116288,795,31175,107672,5022,87,3488,17,2
161564697227628_1237219539662133,Snoopy's dog paddle,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1237219539662133/?type=3,2016-06-03 15:45:00,58146,416,13992,50296,2327,60,5453,7,3
161564697227628_1237108949673192,Happy National Do(ugh)nut day! 🍩🍩🍩,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1237108949673192/?type=3,2016-06-03 08:21:47,122216,2186,59419,107415,5639,139,9007,10,6
161564697227628_1236603316390422,It's important to warm up before eating!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1236603316390422/?type=3,2016-06-02 15:01:02,74635,1354,26959,64904,3632,55,6034,6,4
161564697227628_1236358869748200,Siblings are the best!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1236358869748200/?type=3,2016-06-02 08:12:08,75785,1900,30815,69743,5385,48,557,32,20
161564697227628_1235555889828498,June starts today!,Timeline Photos,photo,https://www.facebook.com/Snoopy/photos/a.164481990269232.46758.161564697227628/1235555889828498/?type=3,2016-06-01 08:16:02,214721,1569,135626,201401,11443,266,1557,36,18
