status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
129280043816404_1055849791159420,,Taylor Lautner's cover photo,photo,https://www.facebook.com/TaylorLautner/photos/a.786723774738691.1073741832.129280043816404/1055849654492767/?type=3,2016-06-23 17:58:59,3320,80,47,2954,296,60,9,1,0
129280043816404_1055702197840846,"Big news everyone!! Thrilled to be joining @screamqueensFox it's going to be such a blast playing Dr. Cassidy Cascade. The season 2 premiere is Tuesday, September 20 at 9pm on Fox!",Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1055702197840846/?type=3,2016-06-23 12:06:44,5972,383,514,5048,716,195,8,2,3
129280043816404_1054568521287547,#nationalselfieday,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1054568521287547/?type=3,2016-06-21 15:50:03,198847,1360,993,182142,15327,1041,308,14,15
129280043816404_1053472681397131,What a special moment for @kingjames couldn't be happier for him #lebronisawinner,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1053472681397131/?type=3,2016-06-19 23:10:04,6829,77,90,6437,236,10,125,1,20
129280043816404_1051936491550750,Shout out to whoever did this awesome drawing of Jacob holding Bella in her wedding dress ❤️ #fanartfriday,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1051936491550750/?type=3,2016-06-17 12:33:26,214194,1305,1944,194116,17375,2488,127,62,26
129280043816404_1051288404948892,Touching the top of the Empire State #tbt #tracers,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1051288404948892/?type=3,2016-06-16 12:19:23,242757,1264,956,224684,15090,1769,1190,12,12
129280043816404_1050592015018531,Who says sequels are never as good as the original? @christophertitone,,video,https://www.facebook.com/TaylorLautner/videos/1050592015018531/,2016-06-15 11:34:17,33028,491,506,27701,1848,41,3433,3,2
129280043816404_1049410128470053,Mood 😴,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1049410128470053/?type=3,2016-06-13 14:45:49,121808,799,474,113834,5685,597,1626,54,12
129280043816404_1048269815250751,Coasters don't scare us @knottsberryfarm !!!!,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1048269815250751/?type=3,2016-06-11 17:30:53,37765,360,132,34767,1446,86,1458,6,2
129280043816404_1047485298662536,Shout out to the talented @kllarts for this one. Super cool! Thanks for this.. #fanartfriday,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1047485298662536/?type=3,2016-06-10 14:01:09,30020,179,91,28207,1562,230,15,5,1
129280043816404_1046901128720953,Well. @Dodgers said I was gonna be their closer last night. Not what I had in mind.,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1046901128720953/?type=3,2016-06-09 14:09:40,147620,954,676,133931,11130,256,2280,16,7
129280043816404_1046895625388170,Umm whoops.. @dodgers,,video,https://www.facebook.com/TaylorLautner/videos/1046895625388170/,2016-06-09 13:59:05,64210,994,1079,55143,6355,146,2549,16,1
129280043816404_1046281682116231,⛳️🏌 Have a great day everyone!,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1046281682116231/?type=3,2016-06-08 12:48:54,131953,1095,339,121896,9426,535,76,13,7
129280043816404_1044552502289149,Happy Sunday from half my face and 100 degree weather ☀️,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1044552502289149/?type=3,2016-06-05 17:25:53,249632,1655,772,225008,23205,1094,284,28,13
129280043816404_1043546729056393,RIP to The Greatest,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1043546729056393/?type=3,2016-06-04 00:18:28,52612,295,741,48414,841,46,8,3294,9
129280043816404_1043318235745909,Love this edit! Brings back so many memories filming Tracers in NY.. #fanartfriday,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1043318235745909/?type=3,2016-06-03 14:35:30,63431,406,295,58679,4295,404,44,4,5
129280043816404_1042737679137298,"Here's me and my friend Fred the fish who I met on the Big Horn River which is one of the most peaceful places I've ever been. He's really cool and super funny. Too bad we didn't get to hang very long before he jumped out of the boat and swam off into the sunset. Fred, if you're reading this know that I miss you. 🐟 #tbt #fredthefish",Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1042737679137298/?type=3,2016-06-02 13:13:07,100368,756,375,91965,5378,209,2786,16,14
129280043816404_1042092829201783,#wcw,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1042092829201783/?type=3,2016-06-01 12:26:25,25674,216,52,24804,602,176,29,25,38
129280043816404_1039740376103695,Foolin around on the golf course..😜,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1039740376103695/?type=3,2016-05-28 14:23:35,50488,246,75,48046,1979,267,184,3,5
129280043816404_1039338419477224,Congratulations to my beautiful little sis @makenalautner Class of 16!!! So many amazing things ahead for you. Love you more. ❤️,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1039338419477224/?type=3,2016-05-27 23:10:39,209583,964,567,197213,11544,680,84,35,24
129280043816404_1037343059676760,"Hey guys! Great news!! I've been nominated in the Best TV Comedy Actor category for #Cuckoo at the Teen Choice Awards this year! If you want to help us get this win, click here: vote.teenchoice.com need all your help!! :)",Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1037343059676760/?type=3,2016-05-24 22:47:47,4366,372,65,3956,378,26,2,3,1
129280043816404_1034632199947846,Huge thanks to @_merveerdem for this amazing collage! You've inspired me to kick off #FanArtFriday so be sure to stay tuned each week for new posts with my favorite fan art 😝,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1034632199947846/?type=3,2016-05-20 16:53:44,30968,523,485,27049,3590,299,29,0,1
129280043816404_1034526623291737,#fbf filming ridiculous six w this awesome dude who makes me look 4ft tall @blakeshelton,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1034526623291737/?type=3,2016-05-20 13:12:43,109131,743,455,101725,6642,163,591,6,4
129280043816404_1034191553325244,Behind the scenes of a fight sequence from Cuckoo,,video,https://www.facebook.com/TaylorLautner/videos/1034191553325244/,2016-05-19 21:45:55,24283,346,358,21659,1790,777,55,2,0
129280043816404_1034041466673586,#TBT to my shaved head days,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1034041466673586/?type=3,2016-05-19 15:06:21,50636,385,111,47291,2862,124,337,15,7
129280043816404_1033926096685123,"For my first #tbt ever I want y'all to meet my best friend, who also happens to be my sister. She's the most beautiful person I know. Inside and out. I love you @makenalautner 
So here's throwin back to her visiting me in London while I was filming Cuckoo.",Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1033926096685123/?type=3,2016-05-19 10:39:17,121609,860,374,113337,7686,442,108,8,28
129280043816404_1033374826740250,Too early for golf 😴,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1033374826740250/?type=3,2016-05-18 13:08:31,496514,5265,2618,450216,42291,2847,1063,53,44
129280043816404_1032653106812422,"Hello Instagram! It only took me until the year 2016 to finally join, sorry I'm so late to the party haha
Huge thank you to my buds @adamsandler and @davidspade for helping me introduce my page",,video,https://www.facebook.com/TaylorLautner/videos/1032653106812422/,2016-05-17 10:54:16,16667,527,696,14449,1361,30,824,1,2
129280043816404_1023986674345732,,Stagecoach 2016,photo,https://www.facebook.com/TaylorLautner/photos/a.1023986667679066.1073741833.129280043816404/1023986674345732/?type=3,2016-05-02 20:06:23,71702,712,443,67112,4275,260,49,4,0
129280043816404_1021343101276756,,Taylor Lautner's cover photo,photo,https://www.facebook.com/TaylorLautner/photos/a.786723774738691.1073741832.129280043816404/1021342987943434/?type=3,2016-04-28 14:24:24,73611,590,214,69397,3298,853,58,2,3
129280043816404_1021337534610646,#TBT me and Elton hanging out in SF. So funny I almost wore the same outfit that day!,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1021337534610646/?type=3,2016-04-28 14:18:50,79966,737,404,76185,3164,144,453,9,11
129280043816404_1020057551405311,"I had the best time at Coachella this past weekend. Some of my favorite highlights were Ellie Goulding, Sia, and James Bay. Can't wait until next year!",Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1020057551405311/?type=3,2016-04-26 13:36:51,37346,403,198,35334,1870,95,46,0,1
129280043816404_1013441125400287,Season 3 of Cuckoo is now available to stream on Netflix. Can't wait for you guys to find out where Dale has been! Being on the set of Cuckoo really felt like a family. Hope you guys enjoy it as much as I had fun making it.,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1013441125400287/?type=3,2016-04-15 14:58:09,9439,349,80,8733,645,34,25,1,1
129280043816404_1012147278863005,Always good to stretch!,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1012147278863005/?type=3,2016-04-13 12:01:05,67136,577,263,64256,2119,677,79,3,2
129280043816404_1007380222673044,I had such a great time visiting the Ronald McDonald House in NY last week. The kids and their families inspired me with their strength and bravery.,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1007380222673044/?type=3,2016-04-05 14:54:33,67733,667,467,64222,3246,210,42,12,0
129280043816404_1005096599568073,Had a blast last night on Jimmy Fallon. Always nonstop laughter with that guy!!,Timeline Photos,photo,https://www.facebook.com/TaylorLautner/photos/a.131187236959018.31978.129280043816404/1005096599568073/?type=3,2016-04-01 19:57:43,203856,1898,1457,193104,9658,206,864,11,13
