status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
19614945368_10153794716710369,The Taylor Swift Experience™ is making its way to the State Fair of Texas! Check out the exhibit with brand new memorabilia starting September 30th! smarturl.it/TXFair,Timeline Photos,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10153794716710369/?type=3,2016-06-21 16:46:32,53763,1672,784,48942,4035,386,63,16,321
19614945368_10153785387395369,"As you bury your loved ones this week, please know that there are millions of us sending you love and our deepest sympathy in the face of this unthinkable and devastating tragedy.",Timeline Photos,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10153785387395369/?type=3,2016-06-17 17:27:51,178381,1906,4123,156006,11336,112,54,10745,128
19614945368_10153760883530369,Congratulations Max and Kenya!!,Photos from Taylor Swift's post,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10153760883335369/?type=3,2016-06-06 11:07:23,387717,3564,1689,367892,17580,521,1538,25,161
19614945368_10153735962725369,"Frogs HATE it when you grill near them 
just a summer fyi",,video,https://www.facebook.com/TaylorSwift/videos/10153735962135369/,2016-05-21 12:00:00,153794,4659,3223,140849,7622,217,4963,25,117
19614945368_10153719692500369,Just a little cat in a big world.,Timeline Photos,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10153719691880369/?type=3,2016-05-14 12:00:00,375954,5633,3878,351732,20406,555,3120,44,96
19614945368_10153719690565369,"One of my favorite people in the world turns 30 today and I can't help but think about how different my life would've been without our long talks, arts and crafts projects, and running-into-each-others'-arms-hugs. 
Thanks for being you, Lena. Everyone who knows you is better because of it.
HAPPY BIRTHDAY Lena Dunham ❤️",Timeline Photos,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10153719689725369/?type=3,2016-05-13 12:00:00,191484,1997,974,182302,8380,252,361,41,148
19614945368_10153711995615369,Dance like no one's watching Apple Music The Darkness,Apple Commercial #3 - Dance Like No One's Watching,video,https://www.facebook.com/TaylorSwift/videos/10153711995615369/,2016-05-12 07:35:00,109062,4689,14953,93685,10953,312,4007,15,88
19614945368_10153710995990369,"Last night at the BMI Awards, I got to hug Carole King, Cynthia Weil, and Barry Mann. Winning Songwriter of the Year was incredible, and I'll never forget seeing my heroes in person. Thanks BMI for treating us songwriters so well and throwing this event every year honoring our work.",Photos from Taylor Swift's post,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10153710995345369/?type=3,2016-05-11 18:16:00,223870,2322,1740,209777,12544,555,167,43,96
19614945368_10153710977000369,BMI created an award called The Taylor Swift Award because BMI is very very nice,,video,https://www.facebook.com/TaylorSwift/videos/10153710977000369/,2016-05-11 15:50:23,119145,1509,3423,107819,9080,284,1120,21,78
19614945368_10153707315065369,WOAH thanks Vogue for this cover and Theo Wenner for taking the photo-- still reminiscing about Met Gala and how much fun it was. ✨,Timeline Photos,photo,https://www.facebook.com/TaylorSwift/photos/a.113530295368.91862.19614945368/10153707315065369/?type=3,2016-05-09 16:07:21,196363,2470,2256,180534,13220,878,195,68,116
