status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7210086721_10153595984831722,There is nothing too small or too insifnificant to get checked out,Breast Cancer 101: Do you know what you're looking for? Watch this!,link,http://blog.thebreastcancersite.com/breastcancer101/?utm_source=bcs-bcsfan&utm_medium=social-fb&utm_term=20160625&utm_content=link&utm_campaign=breastcancer101&origin=bcs_bcsfan_social_fb_link_breastcancer101_20160625,2016-06-25 00:00:00,41,1,14,38,3,0,0,0,0
7210086721_10153600587231722,"Express your patriotic pride with this lovely America the Beautiful T-Shirt, get it on SALE today! Purchases at The Breast Cancer Site fund mammograms, research and care for women in need!

Shop Sale~~~~>  http://po.st/GDbP8B",Timeline Photos,photo,https://www.facebook.com/TheBreastCancerSite/photos/a.10150307536376722.331374.7210086721/10153600587231722/?type=3,2016-06-24 23:00:00,34,2,1,34,0,0,0,0,0
7210086721_10153595951736722,This is precious loveeee <3 <3 <3,"A Baby Penguin Sees A Human For The First Time, And His Reaction Is SO Cute!",link,http://blog.thebreastcancersite.com/baby-penguin-love/?utm_source=bcs-bcsfan&utm_medium=social-fb&utm_term=20160624&utm_content=link&utm_campaign=baby-penguin-love&origin=bcs_bcsfan_social_fb_link_baby-penguin-love_20160624,2016-06-24 22:00:00,165,6,12,155,9,0,1,0,0
7210086721_10153595951546722,Sometimes rules are meant to be broken ;),"This Toddler Ignores Military Protocol, But The Reason Why Is Too Sweet!",link,http://blog.thebreastcancersite.com/toddler-ignores-protocol/?utm_source=bcs-bcsfan&utm_medium=social-fb&utm_term=20160624&utm_content=link&utm_campaign=toddler-ignores-protocol&origin=bcs_bcsfan_social_fb_link_toddler-ignores-protocol_20160624,2016-06-24 21:00:00,243,2,10,229,14,0,0,0,0
7210086721_10153595580036722,"""My granddaughter, Brooklyn, and I at the Boise Race for the Cure 2016.""

WE LOVE THIS! Thank you for supporting breast cancer awareness and thank you for sharing this photo with us :)",Timeline Photos,photo,https://www.facebook.com/TheBreastCancerSite/photos/a.10150307536376722.331374.7210086721/10153595580036722/?type=3,2016-06-24 20:00:00,3312,50,61,3212,97,3,0,0,0
7210086721_10153595950281722,Now that's some inspiring words of wisdom <3,Supermodel with Breast Cancer Has an Empowering Message for Women,link,http://blog.thebreastcancersite.com/supermodel-cancer-message/?utm_source=bcs-bcsfan&utm_medium=social-fb&utm_term=20160624&utm_content=link&utm_campaign=supermodel-cancer-message&origin=bcs_bcsfan_social_fb_link_supermodel-cancer-message_20160624,2016-06-24 19:00:00,338,3,11,320,13,4,0,1,0
7210086721_10153595949786722,You are going to be excited from this inspiring video!,"Firefighters Show Support For One Of Their Own By Dancing, Shaving Their Heads, And More!",link,http://blog.thebreastcancersite.com/cs-firefighter-support/?utm_source=bcs-bcsfan&utm_medium=social-fb&utm_term=20160624&utm_content=link&utm_campaign=cs-firefighter-support&origin=bcs_bcsfan_social_fb_link_cs-firefighter-support_20160624,2016-06-24 18:00:00,388,8,34,368,20,0,0,0,0
7210086721_10153595949611722,ONE of these songs will be you new fight song!,Ladies: These Seven Empowering Songs Will Help You Get Your Game Face On!,link,http://blog.thebreastcancersite.com/empowering-songs-seven/?utm_source=bcs-bcsfan&utm_medium=social-fb&utm_term=20160624&utm_content=link&utm_campaign=empowering-songs-seven&origin=bcs_bcsfan_social_fb_link_empowering-songs-seven_20160624,2016-06-24 17:00:00,451,8,34,435,16,0,0,0,0
7210086721_10153600578271722,"Gear up for summer with these Pink Ribbon Women's Casual Shorts! They're on SALE today and purchases at The Breast Cancer Site fund research & care for women in need!

★ SHOP SALE ★ http://po.st/WYxLyb",Timeline Photos,photo,https://www.facebook.com/TheBreastCancerSite/photos/a.10150307536376722.331374.7210086721/10153600578271722/?type=3,2016-06-24 16:00:01,78,1,5,75,2,1,0,0,0
7210086721_10153595577791722,"""My mom's last chemo today... She did it""

Congrats to Racheal's mother's last day of chemo!!! SHE DID IT :). Thank you for sharing this photo <3",Timeline Photos,photo,https://www.facebook.com/TheBreastCancerSite/photos/a.10150307536376722.331374.7210086721/10153595577791722/?type=3,2016-06-24 15:00:00,22856,1096,521,21938,866,37,13,2,0
7210086721_10153595949361722,I LOVE this flash mob!,The Flash Mob Does A Fantastic Job — And The Little Girl Almost Steals The Show! It's So Sweet!,link,http://blog.thebreastcancersite.com/bradayflashmob/?utm_source=bcs-bcsfan&utm_medium=social-fb&utm_term=20160624&utm_content=link&utm_campaign=bradayflashmob&origin=bcs_bcsfan_social_fb_link_bradayflashmob_20160624,2016-06-24 14:00:00,401,5,28,384,15,0,2,0,0
7210086721_10153595573981722,"""My moms last Chemo! 👏🏼👏🏼👏🏼 6-20-16""

Congrats to Ashely's mother on her last day of chemo!!!! Thank you for sharing this with us :)",Timeline Photos,photo,https://www.facebook.com/TheBreastCancerSite/photos/a.10150307536376722.331374.7210086721/10153595573981722/?type=3,2016-06-24 13:00:00,8832,1058,920,8385,424,16,5,2,0
7210086721_10153595667021722,Wow... what friends they were,This Woman Shared Her Mastectomy Scars On Facebook — But What Happened Next Will Shock You,link,http://blog.thebreastcancersite.com/beth-whaanga-photo/?utm_source=bcs-bcsfan&utm_medium=social-fb&utm_term=20160624&utm_content=link&utm_campaign=beth-whaanga-photo&origin=bcs_bcsfan_social_fb_link_beth-whaanga-photo_20160624,2016-06-24 12:00:00,536,25,21,490,23,2,0,21,0
