status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7976226799_10154266465766800,Tonight! Sit happens. Tune in at 11/10c for full coverage.,,video,https://www.facebook.com/thedailyshow/videos/10154266465766800/,2016-06-23 21:30:00,3913,140,629,3318,128,4,458,1,4
7976226799_10154265912531800,"John Heilemann and Mark Halperin of ""The Circus"" discuss Bernie Sanders.",,link,http://on.cc.com/28PP54n,2016-06-23 19:00:00,1919,74,123,1774,125,2,14,1,3
7976226799_10154266179001800,Another tragedy hits Rio de Janeiro as the city struggles to prepare for the Olympics. http://on.cc.com/28Q181O,,link,http://gph.is/28QOQqz,2016-06-23 16:53:34,1235,30,136,923,4,21,51,120,116
7976226799_10154265776656800,"Roy Wood, Jr. explores how lobbyists influence the Army Corps of Engineers and the questionable projects the unit takes on. http://on.cc.com/28PskxB",,video,https://www.facebook.com/thedailyshow/videos/10154265776656800/,2016-06-23 14:00:28,801,24,136,649,9,36,88,5,14
7976226799_10154265552546800,"Paul Ryan prefers sit-ups, not sit-ins.",Timeline Photos,photo,https://www.facebook.com/thedailyshow/photos/a.10150284949646800.382185.7976226799/10154265552546800/?type=3,2016-06-23 12:10:01,18735,754,1843,13455,271,26,4790,28,165
7976226799_10154265241041800,"Can things get any worse for the upcoming Rio Olympic games? How about a dead mascot. 

►Full Episode: http://on.cc.com/28PaVFf",,video,https://www.facebook.com/thedailyshow/videos/10154265241041800/,2016-06-23 10:02:05,3684,106,705,2811,20,34,440,156,223
7976226799_10154265068236800,"Rio de Janeiro prepares for the Olympics, Roy Wood, Jr. investigates the lobbying behind the Army Corps of Engineers, and John Heilemann and Mark Halperin discuss ""The Circus.""","Full Episode: June 22, 2016 - John Heilemann and Mark Halperin",link,http://on.cc.com/28OZA7Z,2016-06-23 08:39:03,241,18,26,218,3,2,12,5,1
7976226799_10154263479716800,Turns out Donald Trump is a big Daily Show fan! Tune in tonight at 11/10c.,,video,https://www.facebook.com/thedailyshow/videos/10154263479716800/,2016-06-22 21:30:00,5416,216,999,4172,94,11,1126,2,11
7976226799_10154263374966800,A summer heat wave hits the Southwest.,,link,http://on.cc.com/28Od44A,2016-06-22 19:00:00,930,26,46,773,14,1,141,0,1
7976226799_10154263067431800,Trump's gotta get that BOOM BOOM BOOM!,,video,https://www.facebook.com/thedailyshow/videos/10154263067431800/,2016-06-22 15:28:45,2363,206,602,1601,36,6,709,4,7
