status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
20950654496_10154389251649497,Stargazing Tips,,video,https://www.facebook.com/TheOnion/videos/10154389251649497/,2016-06-23 23:00:25,135,15,42,116,5,0,14,0,0
20950654496_10154388879374497,Here are the pros and cons of affirmative action:,The Pros And Cons Of Affirmative Action,link,http://onion.com/28QOQHJ,2016-06-23 20:00:32,264,27,44,236,3,0,25,0,0
20950654496_10154388532959497,Via ClickHole:,ClickHole,link,http://clckhl.co/EqfOEP5,2016-06-23 17:30:10,286,81,0,246,4,3,32,1,0
20950654496_10154388456919497,"""A month ago, I was so much quicker at letting everyone know if I saw a train, a car, a rock—you name it.""",Washed-Up Toddler Can't Point Out Things Like He Used To,link,http://onion.com/28SdVa5,2016-06-23 16:50:06,7475,212,1243,6746,60,3,642,22,2
20950654496_10154388400304497,Via The A.V. Club:,The A.V. Club,link,http://avc.lu/28LzyFZ,2016-06-23 16:19:20,200,14,0,161,2,0,36,0,1
20950654496_10154388331739497,The coworkers expended near-superhuman amounts of psychological energy to recall any common interest or shared workplace experience.,Coworkers Each Putting In Herculean Effort To Sustain Conversation For Entire Commute,link,http://onion.com/28VDEMG,2016-06-23 15:46:05,6526,164,511,5916,84,5,512,8,1
20950654496_10154388251454497,"A female jaguar that was part of an Olympic torch relay ceremony in Rio de Janeiro was shot dead after pulling free from her handlers and attacking a soldier, behavior likely induced by the stress of the chaotic environment.",Jaguar Killed In Olympic Torch Relay,link,http://onion.com/28TiqjF,2016-06-23 15:05:12,1039,82,124,852,6,5,70,92,14
20950654496_10154388146074497,From The Archives:,Congress Fiercely Divided Over Completely Blank Bill That Says And Does Nothing,link,http://onion.com/28OCsc0,2016-06-23 14:04:35,16060,230,4546,14410,236,14,1350,38,13
20950654496_10154388040184497,Here are the leading arguments for and against the U.K. leaving the E.U.:,The Case For And Against The U.K. Leaving The E.U.,link,http://onion.com/28QWVNP,2016-06-23 13:14:07,1215,102,383,1061,16,1,136,1,0
20950654496_10154387962214497,Via ClickHole:,ClickHole,link,http://clckhl.co/8wEsT5z,2016-06-23 12:40:37,822,73,1,762,18,1,41,0,0
20950654496_10154387820149497,"Kyle Wolfe, 6, will not experience a greater sense of security, comfort, or self-assuredness during the next seven decades.",Sitting Inside Cardboard Box The Safest 6-Year-Old Will Feel For Remainder Of Life,link,http://onion.com/28SVTUJ,2016-06-23 11:38:14,6839,164,1039,6257,51,8,343,179,1
20950654496_10154387681434497,"A 150 percent increase in teen pregnancy rates over the past decade has led more high schools to eliminate ""Fuck Your Brains Out,"" a national sexual education program that encourages adolescents to have sex frequently. The program has historically included PSAs like the one below.

Full story: http://onion.com/28QaQCe",Government-Issued PSA Urging Teens To Fuck Their Brains Out,video,https://www.facebook.com/TheOnion/videos/10154387681434497/,2016-06-23 11:05:00,954,148,232,734,12,6,200,2,0
20950654496_10154387696564497,"Donald J. Trump: ""Eric has been a very good son and done some great work on this campaign, but the fact is that we need to make some adjustments.""",Cash-Strapped Trump Forced To Replace Eric Trump With Cheap Migrant Son,link,http://onion.com/28PekEd,2016-06-23 10:35:13,28768,553,6961,23453,336,44,4910,16,9
20950654496_10154387585924497,"It was recently found that retailers charge 3.9 times as much for white dresses designated as ""bridal"" gowns, a markup that designers defend as a matter of fabric and quality but that others decry as dishonest marketing.",Retailers Routinely Overcharging For Bridal Wear,link,http://onion.com/28SkNmI,2016-06-23 09:55:02,605,55,73,510,1,2,81,1,10
20950654496_10154387519829497,"""If the song means something else to you, that's still cool, but there were lots of people who wanted to know what we were driving at.""",ZZ Top Reveals Meaning Behind Classic Song 'Legs',link,http://onion.com/28Q3X56,2016-06-23 09:20:09,2722,163,847,2387,27,7,299,1,1
20950654496_10154387456424497,Experts with knowledge of the two sides' historically strained relations were pessimistic about the truce's staying power.,"Uneasy Détente Forms Between Man Sitting On Patio, Bee",link,http://onion.com/28YqyvE,2016-06-23 08:45:11,6702,234,1071,6165,80,12,444,2,0
20950654496_10154387308609497,,Area Woman Always Has Backup Problem Just In Case,link,http://onion.com/28Q2USO,2016-06-23 07:44:11,2026,100,302,1813,27,1,185,0,0
20950654496_10154386450524497,"""As soon as I get home from work, all I want to do is take a load off and relax for a little while.""",4 Hours Scrolling Through Facebook Before Bed Referred To As 'Winding Down',link,http://onion.com/28S9D0b,2016-06-22 22:00:39,20784,1292,3302,18621,211,16,1860,74,2
20950654496_10154386445094497,Via ClickHole,ClickHole,video,https://www.facebook.com/clickhole/videos/1697456953827897/,2016-06-22 21:55:33,380,48,0,316,7,18,39,0,0
20950654496_10154386337849497,Visual accounts suggest that the other people in the room seem to be in agreement about what's being discussed.,"Report: It Apparently Time In Conversation To Smile, Laugh",link,http://onion.com/28OelLu,2016-06-22 20:45:10,972,40,99,914,9,1,48,0,0
20950654496_10154386179779497,"According to accounts, Rebecca McBride took the easy way out by asking doctors to administer a pain reliever minutes before going into active labor with her son.",Woman Already Off To Bad Start As Mother After Requesting Epidural,link,http://onion.com/28NwbeL,2016-06-22 19:15:14,6958,309,730,5650,72,8,1219,5,4
20950654496_10154386085204497,Via ClickHole:,ClickHole,link,http://clckhl.co/gqrprx2,2016-06-22 18:09:08,4371,190,0,3920,34,22,390,2,3
20950654496_10154385905174497,"""Got one!""",Mom Triumphantly Drags Hotel Pool Lounge Chair Back To Family Like Fresh Kill,link,http://onion.com/28QrVAv,2016-06-22 16:50:04,27574,930,2923,24871,300,25,2369,6,4
20950654496_10154385846744497,"A proposal approved by New York lawmakers this week will require schools, homeless shelters, and jails to provide free tampons and sanitary pads to women in order to alleviate the financial strain of menstruation.",NYC To Require Access To Free Tampons,link,http://onion.com/28PvJlQ,2016-06-22 16:20:05,3804,170,547,3169,75,11,544,1,4
20950654496_10154385798659497,Via Onion Sports:,"A Look Back At Derrick Rose, The Chicago Bulls' All-Time Greatest Patient",link,http://onion.com/28SbJNH,2016-06-22 15:55:24,7258,504,2262,6351,64,10,798,30,5
20950654496_10154385726684497,Unique Summer Vacation Ideas,,video,https://www.facebook.com/TheOnion/videos/10154385726684497/,2016-06-22 15:15:51,315,36,82,274,0,0,41,0,0
20950654496_10154385675779497,Via The A.V. Club:,The A.V. Club,link,http://avc.lu/28LZ3Wq,2016-06-22 14:46:26,13043,1027,0,11124,313,12,1592,0,2
20950654496_10154385605229497,"The event included a $50-a-head clash with protesters in the parking lot outside the Prudential Center, where complimentary rocks and glass bottles to throw would be provided.",Financially Struggling Trump Campaign Holds Fundraising Riot,link,http://onion.com/28NQRGE,2016-06-22 14:10:06,8395,211,2304,6986,87,12,1301,4,5
20950654496_10154385506244497,Via Onion Politics:,Onion Politics,link,http://onion.com/28NIaO2,2016-06-22 13:30:13,1107,50,0,935,16,1,153,1,1
20950654496_10154385398004497,Via ClickHole:,ClickHole,link,http://clckhl.co/saYfhW6,2016-06-22 12:41:13,2112,120,0,1826,13,19,250,3,1
20950654496_10154385289899497,Here is a guide to presumptive Republican nominee Donald J. Trump's potential running mates in the 2016 presidential election:,Trump's Potential VP Picks,link,http://onion.com/28P8jMZ,2016-06-22 11:59:36,501,109,101,421,5,1,74,0,0
20950654496_10154385193279497,"Dustin Greer, 26, says it's stressful but also exhilarating that the entire NASA organization counts on each member to perform at an extremely high level in order to achieve its objectives.",NASA Social Media Manager Considers Himself Part Of Team,link,http://onion.com/28NQ1Yq,2016-06-22 11:09:05,5075,175,439,4561,50,5,451,7,1
20950654496_10154385089804497,"""At the end of the day, all I really want is what's best for the sleepover.""",It Is With A Heavy Heart That I Announce I Am Having My Parents Pick Me Up Early From ...,link,http://onion.com/28M37cy,2016-06-22 10:20:08,14483,718,1747,13211,178,6,994,93,1
20950654496_10154384986829497,"Tech giant Apple is lobbying to kill a bill called the Fair Repair Act that would require smartphone manufacturers to publicly post repair instructions and make replacement parts available for users to purchase, an environmentally friendly change that would reduce the number of disposed phones.",Apple Opposes Bill Protecting Users' 'Right To Repair',link,http://onion.com/28P5Rpz,2016-06-22 09:30:36,1661,96,184,1466,7,5,134,3,46
20950654496_10154384901894497,"""If I can just drag my ass into that office and grind it out until 5 p.m., I'll be good.""",Man Just Needs To Power Through Another Day Of Not Being Broke And Unemployed,link,http://onion.com/28NrZMZ,2016-06-22 08:50:06,10838,398,1933,10120,120,7,549,41,1
20950654496_10154384811474497,"""Man, she's really letting those kids have it, isn't she?""",Teacher Grading Papers Next To You On Plane Not Pulling Any Punches,link,http://onion.com/28Na7DZ,2016-06-22 08:01:28,6706,271,966,6049,66,7,582,2,0
20950654496_10154384689324497,"""The tragic irony of this phenomenon is that a significant number of people will actually use the sheet to hang themselves.""",Study Reveals Majority Of Suicides Occur While Trying To Put Fitted Sheet On Bed,link,http://onion.com/28Le8G6,2016-06-22 07:01:07,9529,598,1781,8403,80,13,1004,25,4
20950654496_10154384050174497,Via ClickHole,ClickHole,video,https://www.facebook.com/clickhole/videos/1727646887475570/,2016-06-21 23:50:03,2585,155,0,2252,42,21,257,11,2
20950654496_10154383872059497,Via The A.V. Club,The A.V. Club,link,http://avc.lu/28MmYYL,2016-06-21 22:07:04,250,39,0,232,9,3,6,0,0
20950654496_10154383722519497,"""There's no way I'm gonna keep both of them bottled up.""",Man Now Too Exhausted To Repress Both Anger And Sadness,link,http://onion.com/28MKkP0,2016-06-21 20:45:13,10875,377,2095,9986,198,8,618,63,2
20950654496_10154383464094497,"""Figured, hey, might as well jump in feet-first with 'shit' and see what happens.""",Waters Tested As 12-Year-Old Says 'Shit' In Front Of Mom For First Time,link,http://onion.com/28MzmZN,2016-06-21 19:01:00,18357,642,2160,16653,120,30,1551,0,3
20950654496_10154383206244497,"""After a couple years living together, it was just like, 'Who cares?'""",Couple At Point Where They're Comfortable Using Toilet At Same Time,link,http://onion.com/28LWWDb,2016-06-21 16:45:17,3386,509,466,3017,10,24,331,3,1
20950654496_10154383096794497,"Federal databases showed that doctors treated to meals by pharmaceutical reps were more likely to prescribe name-brand medications, a concerning implication for patients who save significantly on generic prescriptions.",Free Meals Sway Doctors To Prescribe More Name Brands,link,http://onion.com/28LSCSm,2016-06-21 16:00:24,942,89,167,829,9,6,64,3,31
20950654496_10154382987924497,"""There's absolutely nothing we can do to stop these killings from happening over and over except for all the first things you'd think of.""",Frustrated Nation Out Of Ideas To Solve Gun Violence Problem Except For All The Obvious Ones,link,http://onion.com/28LOjGS,2016-06-21 15:09:05,25388,493,7667,23466,506,25,1040,229,122
20950654496_10154382897544497,"""It's truly a miracle that all of us got through this okay.""",Tearful Gun Manufacturers Thankful They All Made It Out Of Massacre Safely,link,http://onion.com/28LJJZb,2016-06-21 14:31:09,10178,219,2094,8868,42,50,584,149,485
20950654496_10154382768404497,"""It's hard to believe that such blatant puppets of the American public could even get elected.""",47 Weak-Willed Senators Bend To Interests Of Powerful American People,link,http://onion.com/28MfEgZ,2016-06-21 13:30:40,9192,151,1893,8152,76,23,609,257,75
20950654496_10154382708874497,Via ClickHole:,ClickHole,link,http://www.clickhole.com/r/4477fsd,2016-06-21 13:05:01,380,55,0,316,1,3,59,0,1
20950654496_10154382642479497,Via The A.V. Club:,The A.V. Club,link,http://avc.lu/28LzyFZ,2016-06-21 12:36:10,1273,80,0,1055,17,7,178,2,14
20950654496_10154382572789497,Via Onion Politics:,Onion Politics,link,http://onion.com/28Luz8k,2016-06-21 12:05:08,292,64,0,247,7,0,37,0,1
20950654496_10154382471474497,"Unlike cats, snakes lack legs to grab hold of and shake like little drumsticks.",Guide To Cat Ownership: Other Pets That Are Clearly Inferior To Cats,link,http://www.theonion.com/guide-to-cats/other-pets/,2016-06-21 11:21:32,591,55,117,537,8,2,43,0,1
20950654496_10154382411624497,"""This is an absolute classic—a real man's movie.""",Father Showing Kids 'Field Of Dreams' For First Time Unaware Kevin Costner Sparking Son's Sexual...,link,http://onion.com/28JZa4Z,2016-06-21 10:55:08,5771,188,672,4879,104,14,772,2,0
20950654496_10154382335459497,"In the midst of a national park deficit of $12 billion, President Obama is touring Yosemite and Carlsbad Caverns to discuss the benefits of protecting these areas from deterioration and climate change, as well as making them more accessible to lower-income families.",Obama Puts Spotlight On National Parks,link,http://onion.com/28R6VXz,2016-06-21 10:16:07,333,38,24,309,2,1,21,0,0
20950654496_10154382269379497,"Nothing noteworthy will occur in your life this week, as you have not paid your cable bill in months.","Your Horoscopes — Week Of June 21, 2016",link,http://onion.com/28Lho7h,2016-06-21 09:40:10,435,40,140,381,2,0,52,0,0
20950654496_10154382195829497,"Workers should arrive at their job, check and send e-mails for two to three hours, and be asleep by 11:30 a.m. at the latest.",New Study Finds Americans Need 6 Hours Of Sleep At Work,link,http://onion.com/28Lu68Y,2016-06-21 09:03:37,21630,943,6523,19495,410,18,1704,2,1
20950654496_10154382097654497,"""I'm sorry, but I don't see what's so lame about being a smart shopper.""",Dad Defends Purchase Of Bargain-Brand Cereal,link,http://onion.com/28JzIL5,2016-06-21 08:15:08,12196,954,1812,11245,131,8,803,4,5
20950654496_10154381964719497,,Man Can Name All Parts Of The Vagina,link,http://onion.com/28KSzJm,2016-06-21 07:00:41,851,120,88,728,7,26,89,1,0
20950654496_10154383001184497,Tips For A Smooth Commute,,video,https://www.facebook.com/TheOnion/videos/10154382969339497/,2016-06-21 07:00:00,289,40,56,251,1,0,37,0,0
20950654496_10154381231214497,Step-By-Step: How To Dress A Wound,,video,https://www.facebook.com/TheOnion/videos/10154381231214497/,2016-06-20 22:00:55,858,129,275,715,21,3,119,0,0
20950654496_10154381093104497,"""Man, he's cutting it pretty close there.""",Nation Gathers Around Area Man Trying To Parallel Park,link,http://onion.com/28KdzSt,2016-06-20 20:30:32,19951,874,2762,17808,192,30,1910,11,0
20950654496_10154380901169497,"""Frankly, I was kind of sad when the call came to an end.""",45-Minute Phone Call To Credit Card Company Goes Great,link,http://onion.com/28JJ3qP,2016-06-20 18:30:09,4417,132,384,4010,22,4,375,6,0
20950654496_10154380717439497,Via ClickHole:,ClickHole,link,http://clckhl.co/pu3fnRo,2016-06-20 17:06:09,4359,211,0,3837,39,8,402,69,4
20950654496_10154380643329497,"""I wonder if those people over there are in line or if they're just waiting for their food. Hmm.""",Local Oaf Not Sure What Part Of Counter You Order At,link,http://onion.com/28JWW6D,2016-06-20 16:20:19,13986,651,2194,12943,86,9,932,14,2
