status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10606591490_10153788487301491,"""I didn't think my vote was going to matter too much.""",These Brexit Voters Think They Have Made a Horrible Mistake,link,http://ti.me/28SVG0i,2016-06-24 10:30:19,297,56,99,175,1,9,58,9,46
10606591490_10153788421746491,Barack Obama had previously pushed against Brexit.,Obama: Brexit Won't Affect 'Special Relationship' Between U.K. and U.S.,link,http://ti.me/28VJTln,2016-06-24 10:00:20,353,36,31,327,4,5,14,1,2
10606591490_10153788350246491,"""The glue is even more brittle than before.""",Can the European Union Survive Britain's Vote to Leave?,link,http://ti.me/28SSQZr,2016-06-24 09:30:26,164,9,20,156,0,5,0,3,0
10606591490_10153788256796491,"No, it's not paranoia.",Why This Photo of Mark Zuckerberg Isn't As Crazy As it Looks,link,http://ti.me/28SQVnB,2016-06-24 09:00:33,131,7,10,128,0,3,0,0,0
10606591490_10153788199921491,"""You just have to start with yourself, you can't look at these retouched magazines.""",H&M's Newest Swimsuit Model Is 60 Years Old,link,http://ti.me/28RzIgQ,2016-06-24 08:30:30,60,2,8,57,3,0,0,0,0
10606591490_10153788145766491,It's about to get crazy out there.,The 'Brexit' Vote Means It's Crunch Time for the Global Economy,link,http://ti.me/28Sef3N,2016-06-24 08:00:46,954,27,235,786,1,76,7,78,7
10606591490_10153788087881491,Brexit is already sending tremors around the world.,"The 6 Biggest Consequences of the U.K.'s Brexit Vote, So Far",link,http://ti.me/28Xs9Eu,2016-06-24 07:30:16,3049,145,1500,2525,8,249,14,233,20
10606591490_10153788032886491,"""People want to see borders.""",Trump Hails Brexit Vote: 'People Want to Take Their Country Back',link,http://ti.me/28S7KO8,2016-06-24 07:01:05,1021,249,166,605,18,9,93,15,281
10606591490_10153787958776491,"The Brexit vote ""is a victory for Trumpism the world over.""",What Britain's Vote to Leave the E.U. Means for the World,link,http://ti.me/28PWd2H,2016-06-24 06:32:22,2674,170,940,2019,16,47,21,309,262
10606591490_10153787892926491,See where people get the most and least sleep.,How Different Countries Sleep,link,http://ti.me/292N7zb,2016-06-24 06:00:21,100,4,18,94,1,1,2,1,1
10606591490_10153787844496491,Was your name a trendsetter?,How Popular Was Your Name When You Were Born?,link,http://ti.me/28SkllP,2016-06-24 05:30:22,142,16,30,140,1,0,1,0,0
10606591490_10153787785786491,It's the latest on the secret menu.,Today's Hot New Starbucks Order Is the Very Pretty 'Purple Drink',link,http://ti.me/28QEPh8,2016-06-24 05:00:34,226,13,14,211,10,5,0,0,0
10606591490_10153787730546491,It can even throw out the trash.,This Robot Giraffe Can Do Your Chores,link,http://ti.me/28PdXv6,2016-06-24 04:30:09,307,29,86,291,4,7,5,0,0
10606591490_10153787680876491,"He said the Brexit vote is a ""great thing.""",Donald Trump Says Brits 'Took Back Control of Their Country',link,http://ti.me/28RcAio,2016-06-24 04:00:20,1322,212,219,905,20,10,119,24,244
10606591490_10153787628156491,"J.K. Rowling: ""I don't think I've ever wanted magic more.""",J.K. Rowling Wishes Magic Could Get U.K. Out of Brexit,link,http://ti.me/28PGGjq,2016-06-24 03:30:13,4197,93,246,3833,173,19,99,70,3
10606591490_10153787559376491,David Cameron announced that he will step down.,U.K. Prime Minister David Cameron Resigns,link,http://ti.me/28UMxI7,2016-06-24 03:00:07,3727,159,867,2697,15,547,41,409,18
10606591490_10153787482371491,J.K. Rowling introduces as a new hero.,J.K. Rowling's Fantastic Beasts Trailer Will Get You Even More Excited,link,http://ti.me/291DlgM,2016-06-24 02:30:12,1864,74,212,1683,143,38,0,0,0
10606591490_10153787415211491,From Amy Schumer to Barack Obama.,See Celebrities Weigh in on Gun Control,link,http://ti.me/28RfJv3,2016-06-24 02:00:50,161,31,12,160,1,0,0,0,0
10606591490_10153787368511491,"""The reboot deserves better.""",Fall Out Boy Is Here to Ruin the 'Ghostbusters' Theme Song,link,http://ti.me/28QKTof,2016-06-24 01:30:13,29,4,6,23,1,0,2,0,3
10606591490_10153787276301491,The final voter turnout was estimated to be 72% nationwide.,U.K. Votes to Leave European Union in Historic Vote,link,http://ti.me/28S6D2n,2016-06-24 01:00:19,793,58,214,598,15,90,6,76,8
10606591490_10153787227846491,"Matthew McConaughey: ""I miss Rust Cohle, man.""",Is Matthew McConaughey Up for Another Round of 'True Detective'?,link,http://ti.me/28TqKjU,2016-06-24 00:30:11,1726,120,105,1558,133,33,2,0,0
10606591490_10153787164486491,Always wished you could perform a duet with Whitney Houston or Tupac?,Hologram Karaoke Is Finally Here,link,http://ti.me/28RmyOs,2016-06-24 00:00:16,199,13,42,182,6,9,1,1,0
10606591490_10153787102226491,Britain's leading broadcasters all predict a Brexit vote.,Broadcasters Forecast U.K. Votes to Leave the European Union,link,http://ti.me/2921mV4,2016-06-23 23:30:06,453,32,71,370,9,32,3,31,8
10606591490_10153787034386491,"""She didn't get defensive about her behavior or make excuses for her actions.""",What We Can All Learn From Selma Blair's Apology,link,http://ti.me/28VHwgy,2016-06-23 23:00:08,600,24,29,570,27,3,0,0,0
10606591490_10153786963971491,2. Mark Cuban: Learn to manage your credit cards.,What 17 Successful People Wish They Knew About Money in Their 20s,link,http://ti.me/28QkKE5,2016-06-23 22:30:11,218,20,72,213,1,4,0,0,0
10606591490_10153786895986491,Many in the U.K. appear to be panic Googling.,Google Surge in Brits Asking 'What Happens If We Leave E.U.?',link,http://ti.me/28RPTIo,2016-06-23 22:00:09,765,72,162,627,2,14,82,35,5
10606591490_10153786828416491,Lindsay Lohan wants you to know the U.K. should remain.,"Lindsay Lohan Has Strong Feelings About Brexit, Apparently",link,http://ti.me/28WgeXB,2016-06-23 21:30:49,284,91,40,229,6,2,41,4,2
10606591490_10153786733261491,The disclosure makes it unclear what other emails may have been deleted.,Hillary Clinton Failed to Hand Over Key Email to State Department,link,http://ti.me/28QCpzg,2016-06-23 21:00:04,587,109,102,487,5,25,45,2,23
10606591490_10153786672476491,Tom Hanks made quite an impact on Allison Williams.,Tom Hanks Should Give Career Advice to Everyone,link,http://ti.me/28ZyHQH,2016-06-23 20:30:49,206,11,17,196,7,2,1,0,0
10606591490_10153786637426491,The 5 most interesting moments of the House sit-in. http://ti.me/28SeyjP,Top 5 moments of the House sit-in,video,https://www.facebook.com/time/videos/10153786637426491/,2016-06-23 20:15:57,498,37,64,453,31,7,4,1,2
10606591490_10153786615306491,Adorable.,"Meet the Pumi, America's Newest (Very Fluffy) Dog Breed",link,http://ti.me/28Qcxln,2016-06-23 20:00:31,760,62,136,701,46,8,2,1,2
10606591490_10153786489321491,Beyoncé would be proud.,These Teens Recreated Beyoncé's 'Formation' Dance for Prom,link,http://ti.me/28QhcFm,2016-06-23 19:01:30,407,42,25,386,17,2,0,1,1
10606591490_10153786434576491,"A conflict that began in 1964 and killed 220,000 may finally be over",How the World's Longest-Running Civil War Ended,link,http://ti.me/28Sp8r4,2016-06-23 18:30:35,1466,49,314,1340,90,25,0,2,9
10606591490_10153786382551491,Taylor Swift could be the next Nancy Drew.,A Taylor Swift-Themed Detective Book Is Happening,link,http://ti.me/28ShlJH,2016-06-23 18:00:23,556,50,107,428,29,8,86,0,5
10606591490_10153786328556491,Watch live from London as Nigel Farage speaks about the Brexit at a Leave EU party,,video,https://www.facebook.com/time/videos/10153786328556491/,2016-06-23 17:36:08,1105,307,131,892,50,37,22,18,86
10606591490_10153786250366491,"Channing Tatum: ""I think it's a horrible idea to let someone off because possibly of what they are going to be capable of doing.""",Channing Tatum Was Horrified By the Brock Turner Sentencing,link,http://ti.me/28SgIQf,2016-06-23 17:00:29,708,21,19,679,19,5,1,2,2
10606591490_10153786193886491,Never second-guess a text again.,You Can Now Determine Everyone's True Feelings With This Text Tone Analyzer,link,http://ti.me/28QFewf,2016-06-23 16:30:21,335,39,90,301,8,11,14,1,0
