status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5723768555_10154320518758556,Want to know why I joined America's Diabetes Challenge? Watch this video! And don't forget to share your story with us at www.AmericasDiabetesChallenge.com. #AmericasDiabetesChallenge #TeamMcGraw,,video,https://www.facebook.com/TimMcGraw/videos/10154320518758556/,2016-06-23 08:00:00,288,10,34,267,19,2,0,0,0
5723768555_10154252789023556,,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154252789023556/?type=3,2016-06-22 18:00:00,121571,5104,62989,113974,7177,174,212,32,2
5723768555_10154252614683556,Rockin' the house!  #TeamMcGraw,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154252614683556/?type=3,2016-06-22 16:00:00,7962,93,173,7510,424,25,3,0,0
5723768555_10154250988373556,,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154250988373556/?type=3,2016-06-22 09:00:00,42923,303,11537,40480,2392,35,12,3,1
5723768555_10154252788638556,,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154252788638556/?type=3,2016-06-21 18:00:00,131791,918,77214,122094,9556,39,69,32,1
5723768555_10154252613008556,Throwback 2013!  Photo by T. Mosenfielder.  #TeamMcGraw,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154252613008556/?type=3,2016-06-21 16:00:00,27237,386,1358,24986,2059,182,9,1,0
5723768555_10154320816503556,Throwback to Summerfest 2013.  Who's coming out this year? #SF2016,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154320816503556/?type=3,2016-06-21 15:44:49,10074,174,376,9415,632,22,5,0,0
5723768555_10154310909073556,Homecoming surprise. #thanksforyourservice #TeamMcGraw,Marine Dad Returns Home And Expects To See Son In A Wheel Chair. Now Keep Your Eyes On The Left,link,https://go24x7.com/yrR0MDZrD,2016-06-21 11:00:00,10557,233,1324,8834,1538,146,4,36,0
5723768555_10154250983878556,,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154250983878556/?type=3,2016-06-21 09:00:00,203850,5828,172437,193190,8316,145,34,2153,13
5723768555_10154251046143556,With Brantley Gilbert and Kris Kristofferson at the We're All for the Hall event!  Photo by R. Diamond. #TeamMcGraw,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154251046143556/?type=3,2016-06-20 11:54:33,20046,283,474,18930,1037,71,7,1,0
5723768555_10154310913553556,#stayhumbleandkind #TeamMcGraw,Neighbor Scolded Old Lady For Not Maintaining Her Yard. Now Watch What These 2 Men Do,link,https://go24x7.com/nvaDAEJ7y,2016-06-20 09:00:00,10325,224,683,9290,936,89,6,3,1
5723768555_10154317295703556,#StayHumbleandKind PS22!,Gregg Breinberg (PS22 Chorus Director),video,https://www.facebook.com/PS22Chorus/videos/1052105324879588/,2016-06-20 08:57:15,3224,148,1,2620,573,28,0,3,0
5723768555_10154310916468556,Guessing dad loved this as much as his daughter. #TeamMcGraw,"Little Girl Sprints Across The Room And Hugs Army Dad. When He Does THIS, I Broke Down",link,https://go24x7.com/rdRnY4xJm,2016-06-19 11:00:00,21412,191,1449,19016,2132,31,12,220,1
5723768555_10154313931553556,"Got to work with legends tonight( and great friends)  Martina McBride and Brooks & Dunn
Honored !",,status,,2016-06-18 23:45:32,14165,191,89,13488,599,71,5,2,0
5723768555_10154310901018556,Go out and earn it. #TeamMcGraw,"Teen Sells Newspapers for 5 years, Earns Enough Money to Pay for College",link,https://go24x7.com/Db6DPP268,2016-06-18 09:00:00,20121,274,1053,18837,1063,212,6,2,1
5723768555_10154311674693556,#StayHumbleandKind,Brianna,photo,https://www.facebook.com/photo.php?fbid=10210112967048444&set=o.5723768555&type=3,2016-06-18 06:57:27,49285,786,0,46081,3073,114,15,1,1
5723768555_10154191465633556,Have a great weekend! #TeamMcGraw,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154191465633556/?type=3,2016-06-17 19:19:43,70719,1644,2518,65548,4940,192,29,6,4
5723768555_10154309840018556,,Summerfest,video,https://www.facebook.com/summerfest/videos/10154211183147480/,2016-06-17 14:23:59,1173,176,0,1032,132,4,0,4,1
5723768555_10154250980018556,,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154250980018556/?type=3,2016-06-17 09:58:18,32120,499,10987,29988,1778,57,294,2,1
5723768555_10154309195443556,Will we see you this summer?  #TeamMcGraw,Timeline Photos,photo,https://www.facebook.com/TimMcGraw/photos/a.107030603555.92613.5723768555/10154309195443556/?type=3,2016-06-17 09:45:34,529,137,70,465,43,0,0,21,0
5723768555_10154309100173556,,Amanda,photo,https://www.facebook.com/photo.php?fbid=1123813347678162&set=o.5723768555&type=3,2016-06-17 09:23:51,7197,59,0,6818,375,4,0,0,0
5723768555_10154306885543556,,Morning Hangover,video,https://www.youtube.com/watch?v=Bb_qGChk0GI,2016-06-16 16:09:22,2036,69,0,1733,296,6,1,0,0
