status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
12566691349_10154317084196350,"""That's not gonna be a good idea.""",Watch this little girl learn a big lesson about the garden hose,link,http://www.today.com/parents/little-girl-learns-big-lesson-about-garden-hose-power-water-t100185?cid=sm_fbn,2016-06-23 09:42:00,42,1,3,29,0,0,13,0,0
12566691349_10154317082616350,We couldn't hold Macklemore and Ryan Lewis back during the Citibank US Concert Series — and we wouldn't want to!,See Macklemore & Ryan Lewis bring their hip-hop hits to the plaza,link,http://www.today.com/popculture/macklemore-ryan-lewis-bring-hip-hop-hits-today-plaza-t100180?cid=sm_fbn,2016-06-23 09:30:21,65,4,4,62,2,0,1,0,0
12566691349_10154317044266350,Watch the pair sing what seems to be every pop song about love ever!,Fall in love with Anna Kendrick and James Corden's hilarious mini-musical,link,http://www.today.com/popculture/anna-kendrick-james-corden-sing-soundtrack-love-story-it-s-t100183?cid=sm_fbn,2016-06-23 09:13:29,882,29,204,743,83,0,56,0,0
12566691349_10154316906331350,Bad news for kids (and the rest of us) who hate needles.,"Skip the FluMist nose spray vaccine this coming flu season, experts say",link,http://www.today.com/health/flumist-nose-spray-vaccine-doesn-t-work-year-t100184?cid=sm_fbn,2016-06-23 08:41:00,227,112,472,188,1,25,1,8,4
12566691349_10154316973636350,"Macklemore and Ryan Lewis brought the party to the plaza this morning!

Photo: Nathan Congleton",Timeline Photos,photo,https://www.facebook.com/today/photos/a.122723261349.132852.12566691349/10154316973636350/?type=3,2016-06-23 08:35:13,352,40,27,314,38,0,0,0,0
12566691349_10154316951056350,"Congratulations, Katherine Heigl and Josh Kelley!","Katherine Heigl is pregnant! Actress, Josh Kelley are expecting 1st son",link,http://www.today.com/parents/katherine-heigl-pregnant-actress-josh-kelley-are-expecting-1st-son-t100182?cid=sm_fbn,2016-06-23 08:22:00,2403,26,26,2256,138,7,1,0,0
12566691349_10154316898691350,It's safe to say Ben Affleck is a very passionate New England Patriots fan.,"Watch Ben Affleck rant about the NFL, talk J. Lo in heated HBO interview",link,http://www.today.com/popculture/ben-affleck-rants-about-deflategate-hitting-rock-bottom-after-dating-t100179?cid=sm_fbn,2016-06-23 08:08:00,369,49,36,303,33,6,23,0,4
12566691349_10154316899811350,Da na na na na na na na… Batman premiered 27 years ago today!,Timeline Photos,photo,https://www.facebook.com/today/photos/a.122723261349.132852.12566691349/10154316899811350/?type=3,2016-06-23 07:49:37,2155,71,561,1973,100,79,3,0,0
12566691349_10154316850181350,"Preach, Blake Lively!",Blake Lively calls out Instagram moms who make motherhood look easy: 'What?!',link,http://www.today.com/parents/blake-lively-calls-out-instagram-moms-who-make-motherhood-look-t100181?cid=sm_fbn,2016-06-23 07:39:00,822,27,26,767,28,0,27,0,0
12566691349_10154316809266350,Raise your hand if this has happened to you!,See what happens when Chris Pratt's 3-year-old drops his phone into the pool,link,http://www.today.com/parents/see-what-happens-when-chris-pratt-s-3-year-old-t100178?cid=sm_fbn,2016-06-23 07:12:00,633,22,12,540,34,2,57,0,0
12566691349_10154316793741350,"If you were caught in a flash flood in your car, would you know what to do?",Flash flood danger: How to survive being trapped in your car,link,http://www.today.com/money/flash-flood-danger-how-survive-being-trapped-your-car-t100051,2016-06-23 06:47:26,149,27,59,134,0,14,0,1,0
12566691349_10154315092741350,What he says isn't always what he means.,Translating man-speak: How to know if he wants to marry you,link,http://www.today.com/health/how-tell-if-guy-likes-you-translating-man-speak-t75526?cid=sm_fbn,2016-06-22 22:33:00,126,33,34,123,2,0,1,0,0
12566691349_10154315093901350,"Finally, an answer to the question: ""Do these look good on me?""","Yes, you can rock new shades! 15 sunglasses styles to fit your face shape",link,http://www.today.com/style/cat-eyes-aviators-here-s-how-find-best-sunglasses-your-t99816,2016-06-22 22:11:00,325,17,37,314,7,3,1,0,0
12566691349_10154315095626350,Impress your guests with these easy bites,Up your pigs-in-a-blanket game with these 3-ingredient sausage puffs,link,http://www.today.com/recipes/3-ingredient-sausage-puffs-t61931,2016-06-22 21:44:00,130,37,39,127,0,2,0,1,0
12566691349_10154315083666350,We're just going to ignore the fact that Kylie Jenner is only 18.,Take a tour of Kylie Jenner's glamorous California home,link,http://www.today.com/home/take-tour-kylie-jenner-s-glamorous-california-home-t100046,2016-06-22 21:29:00,1309,315,98,1080,28,94,6,5,96
12566691349_10154315088996350,"Yes, there IS a right way!",Cutlery down or up? The eternal dishwasher debate solved,link,http://www.today.com/home/3-things-keep-mind-when-loading-dishwasher-t79396?cid=sm_fbn,2016-06-22 21:01:00,442,191,318,428,6,1,7,0,0
12566691349_10154314746856350,See her sweet story!,Meet the 5-year-old whose stunning hair tutorials have inspired grown-ups,link,http://www.today.com/style/meet-5-year-old-whose-hair-tutorials-have-taken-over-t98646,2016-06-22 20:35:00,523,19,42,487,17,18,1,0,0
12566691349_10154315091141350,*Slathers on burger*,What's the healthiest (and unhealthiest) condiment?,link,http://www.today.com/food/healthiest-unhealthiest-condiments-ranked-t100061?cid=sm_fbn,2016-06-22 20:06:00,144,36,38,138,4,0,2,0,0
12566691349_10154315286111350,"To have and to hold, in snakebites and in health!","Rattlesnake bites groom during wedding shoot, but couple in 'good spirits'",link,http://www.today.com/style/rattlesnake-bites-groom-during-wedding-shoot-couple-good-spirits-t100116,2016-06-22 19:44:00,842,38,57,654,4,147,31,6,0
12566691349_10154315087576350,"""The Real Housewives of New York City"" star initially thought she was just exhausted.",Bethenny Frankel opens up about her struggle with fibroids,link,http://www.today.com/health/bethenny-frankel-reveals-serious-health-struggle-fibroids-t99986?cid=sm_fbn,2016-06-22 19:30:00,300,70,12,277,9,9,0,4,1
12566691349_10154315296726350,"""Babies are just like little mirrors of you.""",Channing Tatum reveals how parenthood has affected his marriage to wife Jenna,link,http://www.today.com/parents/channing-tatum-reveals-how-parenthood-has-affected-his-marriage-wife-t100146?cid=sm_fbn,2016-06-22 19:17:00,1293,10,33,1217,71,4,1,0,0
12566691349_10154315094621350,Sugar is in everything – not just ice cream.,8 easy tips to beat sugar cravings,link,http://www.today.com/health/8-tips-dealing-sugar-cravings-t98636?cid=sm_fbn,2016-06-22 19:08:00,331,25,148,320,6,0,0,5,0
12566691349_10154315090136350,They are avoidable!,Why do T-shirts get those annoying little holes?,link,http://www.today.com/style/why-do-t-shirts-get-those-annoying-little-holes-they-t98391?cid=sm_fbn,2016-06-22 18:44:00,615,419,770,571,4,4,10,0,26
12566691349_10154315065656350,These schoolboys just taught a big lesson in kindness.,"Before parting ways, kids give classmate with Down syndrome one final gift",link,http://www.today.com/parents/parting-ways-schoolkids-let-boy-down-syndrome-win-final-class-t99961?cid=sm_fbn,2016-06-22 18:33:00,367,2,15,336,31,0,0,0,0
12566691349_10154313926756350,Cleanup is now a breeze!,How to keep your colander from getting sticky when you put pasta in it,link,http://pubx.co/HVtmDP,2016-06-22 18:18:00,126,4,14,120,2,4,0,0,0
12566691349_10154315082536350,Big news for fans of The Bachelor!,'Bachelor' stars Ben and Lauren getting spinoff — here's everything we know,link,http://www.today.com/popculture/ben-lauren-bachelor-are-back-their-own-tv-series-fall-t100041,2016-06-22 18:07:00,853,413,241,793,46,10,0,1,3
12566691349_10154315296006350,These are CLASSIC!,Best 'Mama don't play' moments: 8 times parents called kids' bluff,link,http://www.today.com/parents/8-best-mama-don-t-play-moments-when-calling-your-t99656?cid=sm_fbn,2016-06-22 17:44:00,730,49,229,568,59,1,101,1,0
12566691349_10154315292071350,"""I immediately felt horrible about a situation where I assumed I was standing up for someone.""",Female Navy vet gets apology after being shamed for using veterans-only parking,link,http://www.today.com/news/female-navy-vet-gets-apology-after-being-shamed-using-veterans-t100096?cid=sm_fbn,2016-06-22 17:33:00,2555,91,154,2375,112,54,4,7,3
12566691349_10154315278411350,"WATCH: A rattlesnake bit this groom during the couple's wedding shoot, but they're still in 'good spirits!' http://on.today.com/28QyqDx","Rattlesnake bites groom during wedding shoot, but couple in 'g...",video,https://www.facebook.com/today/videos/10154315278411350/,2016-06-22 17:14:00,6241,111,550,5083,217,862,47,32,1
12566691349_10154315068181350,"""Politicians — take a look. This is your child, your children, your grandchildren, your great grand children and future generations to come.""",Mom shares the heartbreaking story behind this photo of her daughter,link,http://www.today.com/parents/mom-finds-toddler-practicing-preschool-lockdown-drill-home-t100036,2016-06-22 17:06:00,3831,233,1394,2109,28,54,3,1439,198
12566691349_10154315253521350,Talk about relationship goals.,Watch love bloom between this bulldog and koi fish,link,http://www.today.com/pets/watch-love-bloom-between-bulldog-koi-fish-t100141,2016-06-22 16:46:00,1436,54,142,1233,150,12,40,1,0
12566691349_10154315067146350,Which do you see?,Do you see a lake or a wall? This optical illusion is confusing the internet,link,http://www.today.com/popculture/do-you-see-lake-or-wall-optical-illusion-confusing-internet-t100056?cid=sm_fbn,2016-06-22 16:33:00,543,497,179,490,4,40,8,1,0
