status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
11592717710_10153790162962711,True,Most Apt DIFFERENCES Between Being SINGLE And TAKEN,link,http://www.sodamntruee.com/14724b/?&utm_source=DG&utm_medium=FBN&utm_campaign=Dragon,2016-06-24 08:33:00,450,11,25,431,5,0,14,0,0
11592717710_10153790161992711,Damn,First PICTURES Of Two-YEAR-Old BOY SNATCHED By An ALLIGATOR... Divers Found His BODY,link,http://www.heftywit.com/7be058/?&utm_source=DG&utm_medium=FBN&utm_campaign=Dragon,2016-06-24 07:07:00,651,10,12,611,2,1,0,36,1
11592717710_10153790160907711,see what yours says about you,Know What Kind of Butt Shape You Have and Know What It Says About Your Health,link,http://www.flogfog.com/88a966/?&utm_source=DG&utm_medium=FBN&utm_campaign=Dragon,2016-06-24 03:55:21,832,48,56,804,4,0,23,0,1
11592717710_10153788937837711,😂 😂 😂 😂 😂 😂  is your fav celeb on this list and can you even recognize them?,29 Celebrity Old Photos. Can You Guess Who They Are?,link,http://allnight.com/post/3683-29-celebrity-old-photos-can-you-guess-who-they-are/?exp=1&utm_source=ADS&utm_medium=FBN&utm_campaign=Tyga,2016-06-23 16:39:33,5863,142,118,5675,56,12,120,0,0
11592717710_10153787997277711,Toys for boys,Shine Papers,photo,https://www.facebook.com/ShineGoldPapers/photos/a.450948834973202.1073741827.448993768502042/992586440809436/?type=3,2016-06-23 07:49:15,16886,105,0,16066,739,59,18,1,3
11592717710_10153785432977711,Damn lol,Porn Stars Disagree On What The Perfect DONG Looks Like,link,http://allnight.com/post/7903-porn-stars-disagree-on-what-the-perfect-dong-looks-like/?exp=1&utm_source=DG&utm_medium=FBN&utm_campaign=Dragon,2016-06-22 10:33:00,3392,73,46,3329,4,17,38,2,2
11592717710_10153785431217711,Sick rides on the list,17 Female Celebrities Who Drive The Most Luxurious Cars,link,http://allnight.com/post/7787-17-female-celebrities-who-drive-the-most-luxurious-cars/?exp=1&utm_source=DG&utm_medium=FBN&utm_campaign=Dragon,2016-06-22 07:44:00,38677,213,772,37462,844,311,45,9,8
11592717710_10153778105382711,King,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153778105382711/?type=3,2016-06-18 18:39:08,148349,589,1579,143850,3384,254,847,5,9
11592717710_10153774641372711,my new single 1 OF 1 is out NOW! feelin like summertime... smarturl.it/tyga1of1,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153774641372711/?type=3,2016-06-17 11:40:24,2078,105,78,1953,116,7,2,0,0
11592717710_10153764211952711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153764211952711/?type=3,2016-06-12 18:58:29,124404,696,1326,120509,2879,927,61,14,14
11592717710_10153752869137711,Last Kings made me CASH MONEY,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153752869137711/?type=3,2016-06-07 18:55:17,160863,1301,3418,155568,3902,1096,210,19,68
11592717710_10153750919042711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153750919042711/?type=3,2016-06-06 20:20:09,113979,902,2466,108852,3960,817,264,23,63
11592717710_10153750567442711,Cash money never paid me but ya boy did his thang an still made cash money 💲🙏🏾 #BitchImTheShit2💲💲💲💲💲💲,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153750567442711/?type=3,2016-06-06 16:18:10,112675,927,1282,109520,2504,292,323,13,23
11592717710_10153744952867711,R.I.P. to the LEGEND and the Greatest of all time Muhammad Ali,History In Pictures,photo,https://www.facebook.com/HistoryInPictures/photos/a.1417075835221721.1073741827.1417074428555195/1708969649365670/?type=3,2016-06-03 23:51:35,22917,262,3,21306,275,25,3,1301,7
11592717710_10153741020277711,King Love,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153741020277711/?type=3,2016-06-01 20:59:47,255356,1134,2387,246713,8048,202,371,9,13
11592717710_10153738406177711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153738406177711/?type=3,2016-05-31 11:54:34,70023,435,819,68129,1528,283,61,8,14
11592717710_10153738126417711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153738126417711/?type=3,2016-05-31 09:35:15,108575,590,1389,105471,2425,576,85,9,9
11592717710_10153736078502711,Cash Money Video is out 🔥🔥🔥,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153736078502711/?type=3,2016-05-30 12:56:19,91019,545,1204,88594,1975,151,268,7,10
11592717710_10153736040382711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153736040382711/?type=3,2016-05-30 07:06:12,151157,766,1043,147570,3014,414,103,14,15
11592717710_10153730859867711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153730859867711/?type=3,2016-05-27 14:43:20,153762,977,1891,149204,3952,408,157,13,26
11592717710_10153728897327711,Cash money video drops tomorrow on vevo 🔥🔥,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153728897327711/?type=3,2016-05-26 15:10:56,25836,295,659,24803,886,120,22,1,3
11592717710_10153727901897711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153727901897711/?type=3,2016-05-26 02:04:11,128185,838,962,124912,2687,211,336,15,22
11592717710_10153727615272711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153727615272711/?type=3,2016-05-25 22:30:44,107123,533,708,103438,3344,217,93,9,21
11592717710_921033081356169,,Memorial Day weekend party,event,https://www.facebook.com/events/921033081356169/,2016-05-25 12:19:55,4573,52,0,4509,54,9,0,0,1
11592717710_588509087974292,,Palms Pool Party,event,https://www.facebook.com/events/588509087974292/,2016-05-25 12:18:00,2892,36,0,2871,20,0,1,0,0
11592717710_10153723873257711,New   #CashMoney on iTunes #BitchImTheShit2 on the way,CASH MONEY,video,https://www.facebook.com/tyga/videos/10153723873257711/,2016-05-24 00:40:08,6904,242,595,6567,282,50,5,0,0
11592717710_276584646018382,,Fresno Car Super Show,event,https://www.facebook.com/events/276584646018382/,2016-05-23 12:03:10,3636,48,0,3603,25,7,1,0,0
11592717710_10153721397452711,Missed you guys,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153721397452711/?type=3,2016-05-22 21:20:08,71108,477,633,69006,1516,434,118,16,18
11592717710_10153718310752711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153718310752711/?type=3,2016-05-21 14:22:29,131476,733,1052,126917,4155,290,75,15,23
11592717710_10153713781687711,WOW LOL,Jalals,video,https://www.facebook.com/jalalbros/videos/822723274537929/,2016-05-19 13:18:21,28011,4485,1,23620,211,51,3599,22,508
11592717710_10153706411572711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153706411572711/?type=3,2016-05-15 20:45:29,94235,490,849,91553,2005,603,54,9,11
11592717710_10153704453487711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153704453487711/?type=3,2016-05-14 22:45:37,96496,475,698,94105,2135,183,53,4,15
11592717710_10153696607307711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153696607307711/?type=3,2016-05-11 09:52:00,55232,272,303,53885,1146,95,38,2,10
11592717710_615307695298682,,Cannes Film Fest,event,https://www.facebook.com/events/615307695298682/,2016-05-11 07:43:54,7168,64,0,7077,80,4,2,1,0
11592717710_473208889548683,,Cannes film fest,event,https://www.facebook.com/events/473208889548683/,2016-05-11 07:40:47,5015,40,0,4952,57,1,2,2,1
11592717710_10153697253512711,,Tyga's cover photo,photo,https://www.facebook.com/tyga/photos/a.10150633567962711.390797.11592717710/10153697252962711/?type=3,2016-05-11 07:39:01,79945,292,618,77021,2564,137,51,9,18
11592717710_10153696526182711,,Timeline Photos,photo,https://www.facebook.com/tyga/photos/a.395428007710.172496.11592717710/10153696526182711/?type=3,2016-05-10 20:55:00,18184,1393,6351,16704,157,12,1294,2,1
