status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
89562268312_10154389981923313,,Timeline Photos,photo,https://www.facebook.com/VinDiesel/photos/a.101465923312.101581.89562268312/10154389981923313/?type=3,2016-06-21 13:00:54,3243608,76167,124823,2860236,262954,113723,5381,709,605
89562268312_10154382634878313,,,video,https://www.facebook.com/VinDiesel/videos/10154382634878313/,2016-06-18 19:26:38,760496,83811,15063,594293,147979,11039,4800,1043,1341
89562268312_10154381673723313,,Vin Diesel's cover photo,photo,https://www.facebook.com/VinDiesel/photos/a.10150844693113313.461646.89562268312/10154381672973313/?type=3,2016-06-18 12:06:55,1109504,3996,7611,1073802,31303,3654,590,97,58
89562268312_10154378760978313,,Vin Diesel's cover photo,photo,https://www.facebook.com/VinDiesel/photos/a.10150844693113313.461646.89562268312/10154378760463313/?type=3,2016-06-17 09:59:22,746103,5875,8968,709453,28350,7214,851,78,157
89562268312_10154368569843313,,Vin Diesel's cover photo,photo,https://www.facebook.com/VinDiesel/photos/a.10150844693113313.461646.89562268312/10154368567558313/?type=3,2016-06-13 09:37:46,1012615,5188,14911,970468,37257,4159,567,91,73
89562268312_10154360590853313,,Timeline Photos,photo,https://www.facebook.com/VinDiesel/photos/a.101465923312.101581.89562268312/10154360590853313/?type=3,2016-06-10 09:48:43,1394380,7844,8939,1329310,60801,3223,941,66,39
89562268312_10154357211793313,,Vin Diesel's cover photo,photo,https://www.facebook.com/VinDiesel/photos/a.10150844693113313.461646.89562268312/10154357211648313/?type=3,2016-06-09 08:31:10,894703,2859,7911,862371,27985,1237,3019,53,38
89562268312_10154352010358313,"Toretto Tuesday...
#F8",Timeline Photos,photo,https://www.facebook.com/VinDiesel/photos/a.101465923312.101581.89562268312/10154352010358313/?type=3,2016-06-07 12:33:30,785786,3685,12741,752497,27808,4879,496,56,50
89562268312_10154336828078313,,Timeline Photos,photo,https://www.facebook.com/VinDiesel/photos/a.101465923312.101581.89562268312/10154336828078313/?type=3,2016-06-01 12:13:02,1954755,26969,61772,1825002,99399,28120,1783,200,251
89562268312_10154332022793313,,Timeline Photos,photo,https://www.facebook.com/VinDiesel/photos/a.101465923312.101581.89562268312/10154332022793313/?type=3,2016-05-30 13:58:33,935176,4013,8896,899725,32037,2620,620,39,46
89562268312_10154322735348313,,Timeline Photos,photo,https://www.facebook.com/VinDiesel/photos/a.101465923312.101581.89562268312/10154322735348313/?type=3,2016-05-26 14:24:13,1702788,14379,42704,1610213,73323,17802,1161,136,149
89562268312_10154321203098313,,Timeline Photos,photo,https://www.facebook.com/VinDiesel/photos/a.101465923312.101581.89562268312/10154321203098313/?type=3,2016-05-25 21:40:38,1245264,10884,74839,1181074,49103,13276,808,940,61
89562268312_10154317076803313,,Timeline Photos,photo,https://www.facebook.com/VinDiesel/photos/a.101465923312.101581.89562268312/10154317076803313/?type=3,2016-05-24 10:20:47,741374,3620,10884,711725,26132,3003,397,28,89
89562268312_10154315350893313,,Vin Diesel's cover photo,photo,https://www.facebook.com/VinDiesel/photos/a.10150844693113313.461646.89562268312/10154315349088313/?type=3,2016-05-23 15:44:33,865127,3850,8948,834103,27420,2892,633,38,41
89562268312_10154312365373313,,Timeline Photos,photo,https://www.facebook.com/VinDiesel/photos/a.101465923312.101581.89562268312/10154312365373313/?type=3,2016-05-22 11:45:27,945356,6633,21311,900354,40648,3649,567,61,77
89562268312_10154309840458313,"My friend Tony... The Return of Xander...
The cast is just really incredible, so much talent... miss them.",Timeline Photos,photo,https://www.facebook.com/VinDiesel/photos/a.101465923312.101581.89562268312/10154309840458313/?type=3,2016-05-21 10:52:00,466825,2809,4713,455123,9185,1972,463,40,42
