status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
63811549237_10154465816789238,"""We've cut the unemployment rate in half. We've been able to have the longest [stretch of] consecutive months of private-sector job growth in our history. Biggest job growth since the '90s in manufacturing. The auto industry has come roaring back and is selling more cars than ever…It's hard to argue with the facts."" —President Obama discusses his economic record, trade, and higher wages with Bloomberg: http://bloom.bg/28XwPrt",The 'Anti-Business' President Who's Been Good for Business,link,http://bloom.bg/28XwPrt,2016-06-23 16:15:00,9425,691,807,8740,586,25,59,6,9
63811549237_10154465822274238,"""One of the reasons why America is such a diverse and inclusive nation is because we're a nation of immigrants. Our Founders conceived of this country as a refuge for the world."" —President Obama. Today, a divided and incomplete Supreme Court failed to reach a decision on President Obama's actions to make our immigration system smarter, fairer, and more just. Watch the President's remarks: http://go.wh.gov/6ahJPi",,video,https://www.facebook.com/WhiteHouse/videos/10154465822274238/,2016-06-23 14:33:43,9473,844,1649,8394,404,36,30,549,60
63811549237_10154465078789238,"""Find what you're passionate about and then just work your tail off. And success will come out of you putting your all into that passion."" —President Obama shares his advice to young people with The Players' Tribune's Derek Jeter: mentor.gov #MyBrothersKeeper",,video,https://www.facebook.com/WhiteHouse/videos/10154465078789238/,2016-06-23 09:18:28,8760,513,1159,8191,519,31,8,1,10
63811549237_10154463364499238,"""If we're going to raise our kids in a safer, more loving world, we need to speak up for it."" —President Obama. Today, House Democrats began a sit-in to demand action to end gun violence. President Obama joins them in the call for commonsense gun reform: http://go.wh.gov/JcNJ9R #NoBillNoBreak",,video,https://www.facebook.com/WhiteHouse/videos/10154463364499238/,2016-06-22 16:24:44,22196,3443,5307,18227,3301,37,98,22,511
63811549237_10154462896914238,,President Obama,photo,https://www.facebook.com/potus/photos/a.428389484017564.1073741830.424207551102424/502309386625573/?type=3,2016-06-22 12:29:02,19571,469,1,16038,969,23,11,2517,13
63811549237_10154462777019238,Watch Science Advisor Dr. John Holdren sit down with physicist Dr. Jim Gates to talk about 100 examples of President Obama's leadership in science and tech. go.wh.gov/STEM100 #SciencePresident,,video,https://www.facebook.com/WhiteHouse/videos/10154462777019238/,2016-06-22 11:34:45,8631,2486,1233,7488,853,146,65,23,56
63811549237_10154462643334238,"""When I talk to young kids and they ask me for advice, I say, 'Find what you're passionate about and then just work your tail off. And success will come out of you putting your all into that passion.' Being interested and engaged in life is the single most important pathway to success."" —President Obama discussing the My Brother's Keeper initiative with The Players' Tribune publisher Derek Jeter. Learn more at mentor.gov.",The Players' Tribune,video,https://www.facebook.com/theplayerstribune/videos/1344205182263203/,2016-06-22 10:22:00,6331,300,1,5795,480,22,28,0,6
63811549237_10154461107894238,"""Gun violence requires more than moments of silence. It requires action. In failing that test, the Senate failed the American people."" —President Obama: go.wh.gov/SvnSmM",Timeline Photos,photo,https://www.facebook.com/WhiteHouse/photos/a.158628314237.115142.63811549237/10154461107894238/?type=3,2016-06-21 18:30:37,38029,2556,7723,33660,1046,50,33,2688,552
63811549237_10154459971334238,"For years, President Obama has called on Republicans in Congress to follow the will of the American people and enact commonsense laws to help reduce gun violence. For years they have actively done nothing. Last night, following the worst shooting in American history, they did it again—voting down basic measures that could help keep guns away from extremists who seek to kill people. It's pretty simple: People with possible ties to terrorism who aren't allowed on a plane shouldn't be allowed to buy a gun.

We can't stop every tragedy, but we can stop some of them. That should have been enough for Republican Senators last night. go.wh.gov/SvnSmM",Timeline Photos,photo,https://www.facebook.com/WhiteHouse/photos/a.158628314237.115142.63811549237/10154459971334238/?type=3,2016-06-21 10:48:36,8072,1508,1164,6878,325,19,13,228,609
63811549237_10154458387919238,"""If you choose a place to expand your portfolio, to place your bets, to open up a plant, to start building the next great new business or service, you would select the USA—because nowhere in the world and never in history has there been a better place to grow your business"" —President Obama: http://go.wh.gov/UU7VeZ #MadeInAmerica",,video,https://www.facebook.com/WhiteHouse/videos/10154458387919238/,2016-06-20 19:05:03,12188,1323,1735,11418,652,63,29,7,19
63811549237_10154458226979238,"Protecting and assisting refugees is part of our history as a nation. It's the American way. Under President Obama, the United States provides more humanitarian relief to refugees than any other nation—and by working together, we can help even more who are displaced find a safe haven and a new start: AidRefugees.gov #RefugeesWelcome",Timeline Photos,photo,https://www.facebook.com/WhiteHouse/photos/a.158628314237.115142.63811549237/10154458226979238/?type=3,2016-06-20 17:19:19,12380,1777,1701,11334,923,38,18,3,64
63811549237_10154457398684238,,The White House's cover photo,photo,https://www.facebook.com/WhiteHouse/photos/a.10150734924539238.419450.63811549237/10154457398014238/?type=3,2016-06-20 10:43:25,59703,1480,1318,56998,2234,408,37,7,19
