status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
92304305160_10156921561045161,You were a father to the whole neighborhood. I'm trying to live up to your example.,Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156921561045161/?type=3,2016-06-19 02:00:06,1458140,12007,24205,1320752,126442,8753,1556,602,35
92304305160_10156886964165161,"Thank You, Louisville!

Jada & I just left the the Celebration of The G.O.A.T. We have never experienced a more warm & loving town. You sent the Champ off right! We are honored and humbled by your unity, your spirit and your gracious hospitality!

Our deepest love & respect go out to the family, friends & community of one of the most beautiful souls we've ever met.

Louisville... We Shall Return!",,status,,2016-06-10 19:54:19,108933,2548,9678,99299,7991,51,27,1557,8
92304305160_10156862365595161,"You shook up the World!
My Mentor & My Friend.
You changed my Life. 
Rest in Peace.",Photos from Will Smith's post,photo,https://www.facebook.com/WillSmith/photos/a.10150451669175161.638119.92304305160/10156862340815161/?type=3,2016-06-04 12:44:21,1442605,9012,40805,1331702,47694,985,733,61365,126
92304305160_10156811969130161,https://soundcloud.com/dhatu/ohnadinecovermichaelcerapianoplayedby-tim-carter,Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156811969130161/?type=3,2016-05-21 12:14:31,3629,566,79,3497,111,7,11,1,2
92304305160_10156757925690161,"To the Mothers of my children…Thank you for Transforming Pain, Anger and Fear into Harmony, Love and Family.",Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156757925690161/?type=3,2016-05-08 09:00:32,572554,3643,4995,535079,27805,612,349,38,41
92304305160_10156761236425161,Mmmmmmmmmuwah! Happy Mother's Day!,Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156761236425161/?type=3,2016-05-08 02:01:49,1706423,13252,11008,1591534,76826,1763,1039,124,143
92304305160_10156736452690161,Date night in DC! photo credit- Wifey  Celebrating the #MyBrothersKeeper initiative #CareersInEntertainmentTour,Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156736452690161/?type=3,2016-04-30 18:12:05,566948,5650,3211,546025,19344,1203,296,26,42
92304305160_10156704562845161,"I am stunned and heartbroken. I just spoke with him last night. Today, Jada & I mourn with all of you the loss of a beautiful poet, a true inspiration, and one of the most magnificent artists to ever grace this earth.",Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156704562845161/?type=3,2016-04-21 13:45:45,369719,6700,15899,310228,10145,682,76,48512,72
92304305160_10156666000100161,#SuicideSquad,,video,https://www.facebook.com/WillSmith/videos/10156666000100161/,2016-04-10 22:53:00,575911,39739,188011,530155,32921,11454,1267,62,50
92304305160_10156656969435161,NYC Love…Thanks everyone!,,video,https://www.facebook.com/WillSmith/videos/10156656969435161/,2016-04-08 19:02:25,182714,2593,2668,172729,8134,382,1449,11,6
92304305160_10156643010665161,I think I'm going to need a longer arm soon! Honored to be working with the amazing group of actors! #CollateralBeauty,Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156643010665161/?type=3,2016-04-05 13:17:51,376191,3358,2963,363904,10489,708,1062,12,14
92304305160_10156627512765161,TGIF!,Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156627512765161/?type=3,2016-04-01 20:14:00,933640,8278,3720,908666,21205,2443,1221,41,61
92304305160_10156582468980161,"Thanks for the love fellas, sending it right back! I'll see you guys April 10th. #mtvmovieawards. Kevin Hart Dwayne The Rock Johnson",Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156582468980161/?type=3,2016-03-25 14:34:11,164948,1114,1398,161612,2732,419,170,7,8
92304305160_10156563325740161,"Congrats to DeVon, and to the entire team behind Miracles From Heaven. http://www.miraclesfromheaven-movie.com/",Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156563325740161/?type=3,2016-03-23 07:37:44,64209,726,628,62669,1393,98,45,1,3
92304305160_10156520901995161,Saw Hamilton in NY last night. Without question the best show I've ever seen!!,Timeline Photos,photo,https://www.facebook.com/WillSmith/photos/a.231136370160.270995.92304305160/10156520901995161/?type=3,2016-03-13 14:34:06,193783,2108,1367,189345,3836,431,146,10,14
