status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
12138756141_10154172992221142,"#Repost @goodvibesreg (via @repostapp)
・・・
New song by @mistercap More & More
Hope you all enjoy‼️ ☮✌️
#still #chasingmydream #TaylorGang #singing #cover #WizKhalifa #MoreAndMore #TGOD #GeVio #GoodVibesOnly #patience #blessed",,video,https://www.facebook.com/wizkhalifa/videos/10154172992221142/,2016-06-23 23:03:09,692,14,22,641,47,0,4,0,0
12138756141_10154172309541142,World Premiere! #SuckerForPain video from #SuicideSquad The Album Available on 8/5. Pre-order now at http://smarturl.it/suicidesquad,"Sucker for Pain - Lil Wayne, Wiz Khalifa & Imagine Dragons wit...",video,https://www.facebook.com/wizkhalifa/videos/10154172309541142/,2016-06-23 22:00:00,2158,133,850,1891,228,36,3,0,0
12138756141_10154171072366142,#SuckerForPain video premiere tonight at 11pm EST on my Facebook.  #SuicideSquad,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154171072366142/?type=3,2016-06-23 09:11:44,10709,100,388,10235,375,85,13,0,1
12138756141_10154170455636142,New music today. Go to my Twitter for more.,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154170455636142/?type=3,2016-06-23 01:37:57,106838,834,2455,102435,1910,155,2319,9,10
12138756141_10154169351031142,"More And More. 
#Tgod",New Music! Wiz Khalifa 'More And More' - Taylor Gang,link,http://www.taylorgang.com/new-music-wiz-khalifa/,2016-06-22 14:36:32,2925,81,162,2786,125,3,11,0,0
12138756141_10154169128651142,,Taylor Gang,video,https://www.youtube.com/attribution_link?a=hRLCZfdCtow&u=%2Fwatch%3Fv%3DHL1T49UVxxU%26feature%3Dshare%26list%3DPLWdRjvE69puhRZIJRZ4oK0Uz0ZyOZhXf0%26index%3D3,2016-06-22 12:31:26,6769,100,1,6533,202,28,4,1,1
12138756141_10154169061051142,"Taylors- Win tickets to The High Road Summer Tour w/ Snoop Dogg plus meet & greet. 
Enter Here: http://tuns.pk/TebauSA",Win 2 Tickets to see Wiz Khalifa on The High Road Summer Tour + Meet & Greet,link,http://tuns.pk/TebauSA,2016-06-22 11:57:34,4215,86,174,4046,145,11,12,1,0
12138756141_10154167795381142,Come get right. Follow @nickbhindi,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154167795381142/?type=3,2016-06-22 00:23:44,10440,180,257,9994,332,102,12,0,0
12138756141_10154167047811142,Ride w/ Khalifa Man. (Playin: Dead by Dipset. Only real Dipset fans listen to diplomatic immunity 2 ),,video,https://www.facebook.com/wizkhalifa/videos/10154167047811142/,2016-06-21 17:09:49,23164,442,713,21966,972,27,191,3,5
12138756141_10154166534441142,Have some fun w/ Khalifa,,video,https://www.facebook.com/wizkhalifa/videos/10154166534441142/,2016-06-21 13:23:42,22708,521,390,21177,846,14,659,4,8
12138756141_10154166403536142,"Snoop Dogg's #COOLAID is out July 1st. Pre-order now on  iTunes & get the single #KushUps. 
bit.ly/COOLAID",Snoop Dogg,photo,https://www.facebook.com/snoopdogg/photos/a.137458029806.111105.11455644806/10153940697454807/?type=3,2016-06-21 12:19:54,2240,49,1,2109,105,2,24,0,0
12138756141_10154164753156142,Smoke one w/ Khalifa (playing: sho nuff by Tela. Classic TGOD),,video,https://www.facebook.com/wizkhalifa/videos/10154164753156142/,2016-06-20 19:49:51,36251,883,1422,34093,1670,89,361,14,24
12138756141_10154164045226142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164045226142/?type=3,2016-06-20 14:52:41,25590,113,223,24587,931,51,19,1,1
12138756141_10154164043611142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164043611142/?type=3,2016-06-20 14:52:05,19620,96,138,18991,568,19,38,2,2
12138756141_10154164042116142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164042116142/?type=3,2016-06-20 14:51:27,29907,92,214,29035,759,95,15,1,2
12138756141_10154164040696142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164040696142/?type=3,2016-06-20 14:50:47,23827,80,141,23097,680,38,9,1,2
12138756141_10154164037976142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164037976142/?type=3,2016-06-20 14:49:43,36366,129,294,35265,956,101,36,3,5
12138756141_10154164035716142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164035716142/?type=3,2016-06-20 14:48:52,20167,89,136,19425,676,14,47,2,3
12138756141_10154164032761142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164032761142/?type=3,2016-06-20 14:47:45,45617,169,401,44230,1172,142,64,4,5
12138756141_10154164029726142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164029726142/?type=3,2016-06-20 14:46:48,110361,620,1652,106534,3075,461,237,18,36
12138756141_10154164027406142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164027406142/?type=3,2016-06-20 14:45:42,34656,92,211,33633,881,92,45,1,4
12138756141_10154164025986142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164025986142/?type=3,2016-06-20 14:45:21,19718,54,78,19125,537,15,36,1,4
12138756141_10154164024601142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164024601142/?type=3,2016-06-20 14:44:51,22662,87,186,21960,633,46,18,3,2
12138756141_10154164021926142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164021926142/?type=3,2016-06-20 14:44:08,23611,70,173,22894,611,26,76,2,2
12138756141_10154164018356142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164018356142/?type=3,2016-06-20 14:43:34,15791,36,53,15298,464,9,17,1,2
12138756141_10154164016246142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164016246142/?type=3,2016-06-20 14:43:18,21866,55,114,21208,582,13,62,0,1
12138756141_10154164010836142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164010836142/?type=3,2016-06-20 14:42:37,14925,45,67,14454,439,18,14,0,0
12138756141_10154164008176142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164008176142/?type=3,2016-06-20 14:42:17,53195,157,559,51819,1233,68,71,1,3
12138756141_10154164005926142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154164005926142/?type=3,2016-06-20 14:41:54,24010,61,181,23175,762,28,40,3,2
12138756141_10154163997976142,,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163997976142/?type=3,2016-06-20 14:39:48,76323,217,475,73966,2101,176,67,4,9
12138756141_10154163996921142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163996921142/?type=3,2016-06-20 14:39:21,27467,93,160,26534,865,26,37,2,3
12138756141_10154163996141142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163996141142/?type=3,2016-06-20 14:38:54,27479,72,162,26627,773,50,24,0,5
12138756141_10154163995261142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163995261142/?type=3,2016-06-20 14:38:31,24300,79,214,23520,663,23,87,2,5
12138756141_10154163992546142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163992546142/?type=3,2016-06-20 14:37:04,47165,115,396,45888,1015,67,184,2,9
12138756141_10154163989836142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163989836142/?type=3,2016-06-20 14:35:41,191867,1302,2971,185348,3697,751,1979,27,65
12138756141_10154163987736142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163987736142/?type=3,2016-06-20 14:34:45,23650,67,114,22929,624,23,61,9,4
12138756141_10154163980621142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163980621142/?type=3,2016-06-20 14:30:37,42042,119,446,40682,1232,59,64,2,3
12138756141_10154163977766142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163977766142/?type=3,2016-06-20 14:29:21,19832,54,127,19122,600,22,83,2,3
12138756141_10154163976646142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163976646142/?type=3,2016-06-20 14:28:48,22227,59,125,21421,700,20,84,0,2
12138756141_10154163973421142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163973421142/?type=3,2016-06-20 14:27:40,31664,52,219,30598,924,38,101,2,1
12138756141_10154163971996142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163971996142/?type=3,2016-06-20 14:27:16,19259,43,118,18570,626,15,43,3,2
12138756141_10154163970861142,📸 @chriscordovapresents,Timeline Photos,photo,https://www.facebook.com/wizkhalifa/photos/a.133118481141.141020.12138756141/10154163970861142/?type=3,2016-06-20 14:26:56,27200,90,204,26266,855,44,31,1,3
