status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7175346442_10153844649906443,"According to WWE World Heavyweight Champion Dean Ambrose, it's time to SHUT SOME PEOPLE UP!",Exclusive: How Ambrose finds calm in 'the eye of the storm',link,http://wwe.me/EaTz5r,2016-06-23 04:00:11,4994,127,52,4887,59,7,38,2,3
7175346442_10153843302551443,"When someone's sneaker game is on point... don't hate, APPRECIATE!",Enzo Amore,photo,https://www.facebook.com/WWEEnzoAmore/photos/a.1571272266487263.1073741828.1569457606668729/1620630974884725/?type=3,2016-06-23 03:00:00,7189,116,0,7031,78,8,70,0,2
7175346442_10153844500006443,"Safe to say The Wyatt Family does NOT ""Feel the Powaaaah""....","Top 10 Raw Moments: WWE Top 10, June 20, 2016",video,http://wwe.me/bfTemp,2016-06-23 02:00:07,7491,127,45,7421,29,2,33,0,6
7175346442_10153843547511443,WWE NXT's Tag Team Division gets more destructive by the day...,WWE Network,video,https://www.facebook.com/WWENetwork/videos/1079482142146325/,2016-06-23 01:00:00,2614,53,0,2545,13,33,18,1,4
7175346442_10153844350646443,"What's in store for WWE Cruiserweight Classic competitors? Paul ""Triple H"" Levesque explains...",Triple H Addresses Cruiserweight Classic Competitors,video,https://www.facebook.com/wwe/videos/10153844350646443/,2016-06-23 00:00:28,623,41,22,608,8,1,2,0,4
7175346442_10153844279381443,"Sit back, relax, and BASK in the greatness of John Cena's hip-hop days!",Photos: Relive John Cena's days as an MC,link,http://wwe.me/6bZgyo,2016-06-22 23:00:11,44189,430,380,43453,393,61,265,3,15
7175346442_10153844137701443,"Could Buddy Murphy keep up with the ""King of Strong Style"" Shinsuke Nakamura on WWE NXT?",Nakamura got his iconic match and a huge main event victory,link,http://wwe.me/vXMU9b,2016-06-22 22:00:12,1813,81,20,1788,16,5,4,0,0
7175346442_10153843951866443,The King of Strong Style Shinsuke Nakamura continued his winning streak on WWE NXT on WWE Network.,WWE NXT: Shinsuke Nakamura vs. Buddy Murphy,video,https://www.facebook.com/wwe/videos/10153843951866443/,2016-06-22 20:10:35,1500,235,113,1443,37,3,17,0,0
7175346442_10153843933216443,EXCLUSIVE: No Way Jose is attended to by WWE staff after suffering an attack on WWE NXT.,WWE Personnel Assists No Way Jose,video,https://www.facebook.com/wwe/videos/10153843933216443/,2016-06-22 20:01:02,7150,191,131,6858,19,104,30,128,11
7175346442_10153843929236443,"It was NOT a good day to cross Nia Jax, as Liv Morgan found out on WWE NXT on WWE Network.",WWE NXT: Liv Morgan vs. Nia Jax,video,https://www.facebook.com/wwe/videos/10153843929236443/,2016-06-22 19:58:56,903,170,84,873,14,12,3,0,1
7175346442_10153843898936443,She's BACK!! Bayley is cleared to return to action at WWE NXT on WWE Network!!,WWE NXT: Bayley returns to action,video,https://www.facebook.com/wwe/videos/10153843898936443/,2016-06-22 19:39:01,1891,158,199,1763,112,3,12,0,1
7175346442_10153843890981443,"This dance party is officially OVER, thanks to Austin Aries! 

Watch WWE NXT on-demand on WWE Network.",WWE NXT: Austin Aries attacks No Way Jose,video,https://www.facebook.com/wwe/videos/10153843890981443/,2016-06-22 19:32:58,1569,214,148,1443,33,12,74,2,5
7175346442_10153843887291443,"""When Life tells you NO ... you say, NO WAY!"" - No Way Jose to Austin Aries.

Watch WWE NXT on WWE Network.",WWE NXT: No Way Jose tried to cheer up Austin Aries,video,https://www.facebook.com/wwe/videos/10153843887291443/,2016-06-22 19:30:20,816,125,66,781,13,4,17,0,1
7175346442_10153843753601443,"Kevin Love of the Cleveland Cavaliers is ALL kinds of ""champion"" right now!",Timeline Photos,photo,https://www.facebook.com/wwe/photos/a.63953746442.86152.7175346442/10153843753601443/?type=3,2016-06-22 18:00:12,35429,332,519,34666,421,66,239,4,35
7175346442_10153843647236443,Which WWE legend says Dean Ambrose reminds him of... himself?!,WWE Superstars react to Dean Ambrose's championship win,link,http://wwe.me/qFLgkK,2016-06-22 17:00:12,64211,788,449,62733,945,131,292,10,106
7175346442_10153843525676443,What does Shinsuke Nakamura have planned for former WWE NXT Champion Finn Bálor?!,WWE NXT: Shinsuke Nakamura Interrupts Finn Balor,video,https://www.facebook.com/wwe/videos/10153843525676443/,2016-06-22 16:00:51,11794,224,325,11401,257,113,18,0,5
7175346442_10153843059626443,The wait is over... Bayley is BACK!!,Bayley,video,https://www.facebook.com/WWEItsBayley/videos/1655321421459421/,2016-06-22 15:30:00,1062,92,0,1001,53,6,1,0,1
7175346442_10153843409836443,"After being sidelined at the hands of Nia Jax, Bayley is BACK on WWE NXT!","WWE NXT preview: June 22, 2016",link,http://wwe.me/sRaWXa,2016-06-22 15:00:15,7591,98,74,7474,78,26,8,1,4
7175346442_10153843319346443,Meet WWE NXT standout and WWE Cruiserweight Classic participant Tommaso Ciampa!,WWE Cruiserweight Classic,video,https://www.facebook.com/WWECruiserweightClassic/videos/504601726392548/,2016-06-22 14:27:13,2550,47,0,2523,21,5,0,0,1
7175346442_10153842878296443,It was NOT easy for Vickie Guerrero to see Dolph Ziggler in this state on WWE SmackDown!,WWE Network,video,https://www.facebook.com/WWENetwork/videos/1079302132164326/,2016-06-22 14:00:00,896,31,0,869,12,8,4,2,1
7175346442_10153843145226443,Who is the ALL-TIME MASTER of the Shining Wizard?!,WAM Wednesday 6/22/16: The Shining Wizard,video,https://www.facebook.com/wwe/videos/10153843145226443/,2016-06-22 13:00:42,3392,374,220,3283,58,16,34,0,1
