status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
99806535469_10154110850830470,Happy Fathers Day.,Timeline Photos,photo,https://www.facebook.com/ZachBraff/photos/a.120424105469.131038.99806535469/10154110850830470/?type=3,2016-06-19 12:31:40,364068,14182,16859,329533,18739,141,15623,28,4
99806535469_10154086960275470,,Garden State,photo,https://www.facebook.com/GardenStateMovie/photos/a.360567017289330.95104.350771801602185/1275183982494291/?type=3,2016-06-09 22:10:28,8167,67,0,7697,464,0,5,1,0
99806535469_10154070348335470,"""Dr. Acula"" is finally in production.",Timeline Photos,photo,https://www.facebook.com/ZachBraff/photos/a.120424105469.131038.99806535469/10154070348335470/?type=3,2016-06-02 19:11:21,154119,7269,6142,141181,6700,559,5670,4,5
99806535469_10154068399505470,,Zach Braff's cover photo,photo,https://www.facebook.com/ZachBraff/photos/a.10150766300225470.459047.99806535469/10154068399275470/?type=3,2016-06-01 21:51:25,76226,1306,1412,70777,4681,38,720,9,1
99806535469_10154068390515470,,Zach Braff,photo,https://www.facebook.com/ZachBraff/photos/a.477111860469.282165.99806535469/10150735165335470/?type=3,2016-06-01 21:48:50,18321,293,74,17467,818,30,5,1,0
99806535469_10154068372220470,"Dear Friends,
Please come follow me on Instagram for cool behind the scenes pics. In this one I'm directing 3 first time actors in my new film, ""Going In Style"": 

www.instagram.com/zachbraff",Timeline Photos,photo,https://www.facebook.com/ZachBraff/photos/a.120424105469.131038.99806535469/10154068372220470/?type=3,2016-06-01 21:35:33,940,29,13,874,35,2,29,0,0
99806535469_10154063531970470,"Filmmakers, New Yorkers, and anyone who cares about the lil guy getting phucked over; please read this article: 

http://www.indiewire.com/article/brooklyn-eastern-effects-stage-close-eminent-domain-gowanus-canal-environment-clean-up","Brooklyn's Eastern Effects: Why the Closing of This Sound Stage is a Big Deal, and What You Can...",link,http://www.indiewire.com/article/brooklyn-eastern-effects-stage-close-eminent-domain-gowanus-canal-environment-clean-up,2016-05-30 18:50:53,306,11,112,286,4,1,0,1,14
99806535469_10154049964040470,,24 Reasons Your Romantic Relationship Will Never Compare To J.D. And Turk's,link,http://www.buzzfeed.com/erinchack/reasons-your-romantic-relationship-will-never-compare-to-jd,2016-05-24 17:55:58,23238,2138,3857,20424,1966,6,832,9,1
99806535469_10154042955840470,Northwestern ranked second next to Julliard !!!!  #GoCats http://www.hollywoodreporter.com/lists/top-25-undergraduate-drama-schools-895399/item/carnegie-mellon-top-25-undergraduate-895406,Carnegie Mellon - The Top 25 Undergraduate Drama Schools Ranked,link,http://www.hollywoodreporter.com/lists/top-25-undergraduate-drama-schools-895399/item/carnegie-mellon-top-25-undergraduate-895406,2016-05-21 21:23:23,176,9,8,169,7,0,0,0,0
99806535469_10154031210360470,,"14 ""Scrubs"" Moments That Make You Feel Feelings Every Time",link,https://www.buzzfeed.com/andyneuenschwander/scrubs-moments-that-make-you-feel-feelings-every-time,2016-05-16 13:56:39,42863,4053,7492,37325,3648,27,20,1840,3
99806535469_10154014726600470,"""Wish I Was Here"" is on HBO tonight. Please check it out. Xoxo ZB",,video,https://www.facebook.com/ZachBraff/videos/10154014726600470/,2016-05-08 21:20:18,753,48,7,684,64,5,0,0,0
99806535469_10153993834140470,"Friends,
If you're in LA, check out ""Salt's Cure"". I'm one of the proud owners and we just got this amazing review in the LA Times. xo Z

http://www.latimes.com/food/la-fo-gold-salts-cure-20160430-story.html",Salt's Cure brings the city's best pork chop to its new location on Highland Avenue,link,http://www.latimes.com/food/la-fo-gold-salts-cure-20160430-story.html,2016-04-29 14:57:24,804,64,23,777,19,5,0,2,1
99806535469_10153941911985470,"Thanks for all the birthday love, Friends!!!! The amazing orchestra recording the score to my new film, ""Going In Style"" played me Happy Birthday. (I pretended to conduct....)",,video,https://www.facebook.com/ZachBraff/videos/10153941911985470/,2016-04-06 19:10:55,3805,145,39,3526,202,10,67,0,0
99806535469_10153911182585470,Happy Easter.,Timeline Photos,photo,https://www.facebook.com/ZachBraff/photos/a.120424105469.131038.99806535469/10153911182585470/?type=3,2016-03-27 15:21:21,57185,1082,634,55138,1429,31,585,2,0
99806535469_10153900471725470,OMG,,video,https://www.facebook.com/ZachBraff/videos/10153900471725470/,2016-03-24 20:25:58,4222,124,28,3990,145,66,19,2,0
99806535469_10153870829810470,,Timeline Photos,photo,https://www.facebook.com/ZachBraff/photos/a.120424105469.131038.99806535469/10153870829810470/?type=3,2016-03-15 14:58:54,96231,4827,6761,87515,1314,69,7299,20,14
99806535469_10153868705545470,"Friends, come follow me at 
www.instagram.com/zachbraff  

for nudes like this one:",Timeline Photos,photo,https://www.facebook.com/ZachBraff/photos/a.120424105469.131038.99806535469/10153868705545470/?type=3,2016-03-14 18:48:26,20143,251,178,19236,671,67,169,0,0
99806535469_10153849974175470,Important Fan Art:,Мотовило,photo,https://www.facebook.com/photo.php?fbid=109535716107796&set=o.99806535469&type=3,2016-03-09 11:50:12,9811,182,0,9294,304,10,203,0,0
